fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	bagging_freq	lambda_l1	lambda_l2	min_gain_to_split	max_depth 	ganancia	iteracion
20220929 154355	binary	custom	TRUE	TRUE	FALSE	-100	31	1298	TRUE	763381	0.009524827	0.605783963	450	743	8685	0.98778499	99	0.943100968	74.04666097	0.069810337	10	27270000	134
20220929 145604	binary	custom	TRUE	TRUE	FALSE	-100	31	422	TRUE	763381	0.028467982	0.210997495	1000	770	9034	0.98738538	6	0.24151497	29.66053776	0.034784187	16	27220000	112
20220929 150744	binary	custom	TRUE	TRUE	FALSE	-100	31	1853	TRUE	763381	0.008238372	0.307086296	1174	787	9563	0.975950548	162	0.219559008	52.83975084	0.192701682	17	27120000	116
20220929 143432	binary	custom	TRUE	TRUE	FALSE	-100	31	448	TRUE	763381	0.047266206	0.45529701	4186	626	8806	0.975416773	711	3.34401863	28.16238661	0.463783392	11	27110000	65
20220929 155001	binary	custom	TRUE	TRUE	FALSE	-100	31	150	TRUE	763381	0.129826419	0.624889981	2484	479	10043	0.850048715	892	0.454278817	77.6616391	0.019838833	19	26960000	138
20220929 144022	binary	custom	TRUE	TRUE	FALSE	-100	31	148	TRUE	763381	0.090859392	0.81548405	5807	623	8470	0.98333335	480	0.818374681	66.08887346	0.038823544	11	26900000	77
20220929 151450	binary	custom	TRUE	TRUE	FALSE	-100	31	2616	TRUE	763381	0.006282214	0.248731047	5669	880	9112	0.997406357	555	6.520143556	47.74832437	0.191378204	13	26900000	118
20220929 152102	binary	custom	TRUE	TRUE	FALSE	-100	31	1095	TRUE	763381	0.013345553	0.360253038	2151	694	9051	0.868530123	683	0.072803912	58.88170697	0.003540872	12	26860000	121
20220929 144202	binary	custom	TRUE	TRUE	FALSE	-100	31	106	TRUE	763381	0.182235884	0.368271409	3792	526	9663	0.885481772	668	0.366383257	43.06135442	0.451454315	13	26840000	81
20220929 153318	binary	custom	TRUE	TRUE	FALSE	-100	31	134	TRUE	763381	0.070201818	0.259459183	1098	361	7940	0.978419931	82	2.077744812	11.42546169	1.218889518	14	26760000	126
20220929 154930	binary	custom	TRUE	TRUE	FALSE	-100	31	143	TRUE	763381	0.096806196	0.515415041	4966	620	8941	0.907632389	652	0.003226573	26.5915116	0.190890642	12	26680000	137
20220929 145826	binary	custom	TRUE	TRUE	FALSE	-100	31	109	TRUE	763381	0.08694791	0.455769248	1965	840	8668	0.999374923	59	1.488056973	37.27812167	0.457831446	12	26670000	114
20220929 143640	binary	custom	TRUE	TRUE	FALSE	-100	31	157	TRUE	763381	0.10210649	0.468359531	4347	621	8078	0.77462708	689	1.681060611	55.81753213	0.225622028	18	26650000	69
20220929 142928	binary	custom	TRUE	TRUE	FALSE	-100	31	26	TRUE	763381	0.222457246	0.528017214	3448	490	7803	0.884300924	100	2.099417533	12.40301569	5.37007547	10	26640000	56
20220929 143952	binary	custom	TRUE	TRUE	FALSE	-100	31	66	TRUE	763381	0.225508748	0.858422342	6164	771	9254	0.999871093	514	0.305513029	26.96409478	1.02098991	12	26620000	76
20220929 145349	binary	custom	TRUE	TRUE	FALSE	-100	31	98	TRUE	763381	0.072437827	0.744004753	4206	723	9144	0.97951299	435	1.394599963	18.61939221	0.891399158	10	26600000	111
20220929 145747	binary	custom	TRUE	TRUE	FALSE	-100	31	425	TRUE	763381	0.017353192	0.418200509	802	746	8709	0.951944627	3	11.62939157	13.02655589	1.248706687	11	26590000	113
20220929 152348	binary	custom	TRUE	TRUE	FALSE	-100	31	416	TRUE	763381	0.021748003	0.344251871	534	280	10309	0.998084444	84	7.453107396	14.2812586	0.226078382	18	26590000	123
20220929 153629	binary	custom	TRUE	TRUE	FALSE	-100	31	291	TRUE	763381	0.04472219	0.466208258	4915	680	8905	0.999437996	315	1.357383249	44.14960396	0.370595496	14	26590000	132
20220929 154854	binary	custom	TRUE	TRUE	FALSE	-100	31	1048	TRUE	763381	0.005920081	0.587320558	3314	861	9656	0.999174934	638	1.31890993	63.59019255	0.056735804	11	26530000	136
20220929 145003	binary	custom	TRUE	TRUE	FALSE	-100	31	91	TRUE	763381	0.141543638	0.651555363	1738	677	9222	0.902168663	905	0.66449854	25.51602844	0.967940591	14	26440000	102
20220929 153247	binary	custom	TRUE	TRUE	FALSE	-100	31	253	TRUE	763381	0.061840803	0.592689905	42	766	9084	0.884955869	595	0.805066555	44.73979272	0.083761282	11	26400000	125
20220929 153704	binary	custom	TRUE	TRUE	FALSE	-100	31	155	TRUE	763381	0.090920117	0.331074481	4831	840	9338	0.873722251	779	2.080923826	20.3440376	0.143532291	16	26370000	133
20220929 144846	binary	custom	TRUE	TRUE	FALSE	-100	31	125	TRUE	763381	0.127266853	0.441880732	905	458	9061	0.767651669	269	5.174210078	40.79947808	0.025415081	9	26360000	99
20220929 145129	binary	custom	TRUE	TRUE	FALSE	-100	31	90	TRUE	763381	0.146020873	0.449051054	4260	307	8154	0.753987342	594	1.102764334	22.05110551	0.650776211	10	26340000	105
20220929 142723	binary	custom	TRUE	TRUE	FALSE	-100	31	79	TRUE	763381	0.078353761	0.716462018	3684	702	8413	0.884446004	175	9.88749617	5.005412482	0.82500729	13	26300000	51
20220929 142553	binary	custom	TRUE	TRUE	FALSE	-100	31	63	TRUE	763381	0.145927398	0.260607669	390	533	7190	0.900322662	163	0.157383671	31.11848633	2.711995256	10	26260000	47
20220929 150157	binary	custom	TRUE	TRUE	FALSE	-100	31	895	TRUE	763381	0.007945965	0.171619869	259	820	10194	0.882535255	370	0.211293784	29.30486962	0.123371716	19	26260000	115
20220929 143729	binary	custom	TRUE	TRUE	FALSE	-100	31	188	TRUE	763381	0.085711323	0.610771271	4248	365	11010	0.736242556	990	0.931233097	53.98903169	0.602445463	15	26220000	71
20220929 155138	binary	custom	TRUE	TRUE	FALSE	-100	31	118	TRUE	763381	0.16239282	0.718017641	1263	670	10336	0.531838876	16	0.272654961	80.34949509	0.879345891	15	26210000	143
20220929 145107	binary	custom	TRUE	TRUE	FALSE	-100	31	277	TRUE	763381	0.07886181	0.440305153	2027	304	8188	0.708715012	103	1.416360016	22.67872345	0.151693118	9	26190000	104
20220929 143008	binary	custom	TRUE	TRUE	FALSE	-100	31	144	TRUE	763381	0.087252419	0.284705316	5237	372	8313	0.968021512	159	0.96606986	21.78288677	1.297138301	8	26180000	58
20220929 143539	binary	custom	TRUE	TRUE	FALSE	-100	31	233	TRUE	763381	0.0884359	0.407794604	7445	597	6897	0.960352345	777	0.097518556	11.13528644	0.148617122	11	26130000	67
20220929 151745	binary	custom	TRUE	TRUE	FALSE	-100	31	401	TRUE	763381	0.03795293	0.780750653	6580	866	8428	0.893209879	762	1.528218677	57.90161858	0.443122094	16	26110000	120
20220929 155203	binary	custom	TRUE	TRUE	FALSE	-100	31	113	TRUE	763381	0.184216198	0.583237699	1947	812	9714	0.68900655	15	0.750008286	96.51445879	0.055076479	18	26100000	144
20220929 144539	binary	custom	TRUE	TRUE	FALSE	-100	31	104	TRUE	763381	0.122203187	0.581706101	6632	338	8559	0.638820956	793	1.593333029	4.544666132	0.943189571	8	26090000	91
20220929 144701	binary	custom	TRUE	TRUE	FALSE	-100	31	123	TRUE	763381	0.136680858	0.84270408	7294	356	10182	0.997767018	487	1.278892027	28.28897576	0.021943755	12	26040000	94
20220929 144046	binary	custom	TRUE	TRUE	FALSE	-100	31	93	TRUE	763381	0.091463645	0.640276811	5812	664	8227	0.987633787	514	4.11065615	13.33064264	1.0580654	19	26030000	78
20220929 143152	binary	custom	TRUE	TRUE	FALSE	-100	31	153	TRUE	763381	0.047820645	0.54650225	3377	396	7914	0.918030397	174	0.068383066	19.41365899	3.655447405	7	26020000	61
20220929 144905	binary	custom	TRUE	TRUE	FALSE	-100	31	57	TRUE	763381	0.217911614	0.466671424	2763	515	9810	0.897068363	111	0.057568201	33.95697473	0.822655456	13	25980000	100
20220929 143245	binary	custom	TRUE	TRUE	FALSE	-100	31	64	TRUE	763381	0.205252067	0.888447817	5046	432	7859	0.957857544	783	6.077512081	1.701455306	1.077600457	13	25970000	63
20220929 153412	binary	custom	TRUE	TRUE	FALSE	-100	31	163	TRUE	763381	0.236570098	0.293832611	5412	414	7869	0.732128631	77	0.120783642	71.99654528	0.971657997	9	25950000	128
20220929 144414	binary	custom	TRUE	TRUE	FALSE	-100	31	522	TRUE	763381	0.030153007	0.645841926	4516	690	10915	0.774140153	867	1.760019138	47.09241486	1.358207237	13	25930000	87
20220929 150806	binary	custom	TRUE	TRUE	FALSE	-100	31	59	TRUE	763381	0.082410447	0.291031264	1334	870	9239	0.874934941	19	0.127268926	24.18248667	5.178299455	10	25930000	117
20220929 144943	binary	custom	TRUE	TRUE	FALSE	-100	31	231	TRUE	763381	0.117003243	0.594320472	5487	697	7602	0.760722319	77	0.351350182	23.03896162	0.584141683	8	25920000	101
20220929 152209	binary	custom	TRUE	TRUE	FALSE	-100	31	436	TRUE	763381	0.034242103	0.154348081	666	825	8197	0.762674815	101	0.146027955	60.34690652	2.295354819	16	25850000	122
20220929 142912	binary	custom	TRUE	TRUE	FALSE	-100	31	107	TRUE	763381	0.117927362	0.603182916	2909	464	7524	0.848642362	80	1.223274214	31.45940347	1.089955682	15	25840000	55
20220929 145323	binary	custom	TRUE	TRUE	FALSE	-100	31	177	TRUE	763381	0.029335871	0.869215122	1937	821	8762	0.999063327	131	9.550785672	0.668058693	2.892787021	10	25840000	110
20220929 143115	binary	custom	TRUE	TRUE	FALSE	-100	31	245	TRUE	763381	0.071871605	0.238388314	4821	365	8448	0.880544761	61	15.84329427	11.08520919	0.187091411	11	25830000	60
20220929 151646	binary	custom	TRUE	TRUE	FALSE	-100	31	579	TRUE	763381	0.012764385	0.108633856	1675	995	10399	0.991892013	219	0.552477238	19.35164023	0.043929296	16	25770000	119
20220929 155041	binary	custom	TRUE	TRUE	FALSE	-100	31	221	TRUE	763381	0.250724144	0.764604922	5123	808	9717	0.574533329	26	2.935328453	66.343799	0.314701512	11	25770000	140
20220929 144135	binary	custom	TRUE	TRUE	FALSE	-100	31	184	TRUE	763381	0.114396397	0.926552609	6605	796	11692	0.969866081	685	0.219597035	39.30721126	0.088757607	12	25740000	80
20220929 144517	binary	custom	TRUE	TRUE	FALSE	-100	31	155	TRUE	763381	0.0979802	0.805946087	7363	479	9747	0.57100811	583	6.553758411	35.85862995	0.724589132	10	25710000	90
20220929 155014	binary	custom	TRUE	TRUE	FALSE	-100	31	34	TRUE	763381	0.137235711	0.813141957	2420	290	9553	0.820134574	980	11.93417198	10.61678573	0.945864582	19	25700000	139
20220929 142611	binary	custom	TRUE	TRUE	FALSE	-100	31	34	TRUE	763381	0.234427966	0.57328356	1481	544	8007	0.96210544	226	2.596502301	22.47759623	0.388570894	9	25670000	48
20220929 144214	binary	custom	TRUE	TRUE	FALSE	-100	31	61	TRUE	763381	0.211353137	0.802468579	3702	671	9130	0.797372024	680	1.080489568	49.24460321	2.012213263	8	25660000	82
20220929 144635	binary	custom	TRUE	TRUE	FALSE	-100	31	113	TRUE	763381	0.092117835	0.831811111	3931	504	8461	0.574531024	159	0.645657483	8.190044186	1.270267483	8	25560000	93
20220929 143036	binary	custom	TRUE	TRUE	FALSE	-100	31	132	TRUE	763381	0.041185047	0.70091005	4876	503	7757	0.868118372	831	0.523385995	16.36613734	2.719665836	9	25530000	59
20220929 153525	binary	custom	TRUE	TRUE	FALSE	-100	31	108	TRUE	763381	0.080978389	0.247422351	2476	499	8866	0.741631513	782	2.720414204	41.27987895	0.022879812	12	25470000	131
20220929 153428	binary	custom	TRUE	TRUE	FALSE	-100	31	63	TRUE	763381	0.204709149	0.198730257	506	564	7914	0.744036647	5	0.153107625	14.01833251	3.096979368	9	25460000	129
20220929 144438	binary	custom	TRUE	TRUE	FALSE	-100	31	162	TRUE	763381	0.078604176	0.822625063	4623	508	9436	0.687473269	684	1.120279165	61.17435911	1.390999984	6	25450000	88
20220929 153458	binary	custom	TRUE	TRUE	FALSE	-100	31	218	TRUE	763381	0.16924391	0.192685883	6878	205	7259	0.585297047	186	0.068839701	42.85743395	0.24265858	8	25410000	130
20220929 153347	binary	custom	TRUE	TRUE	FALSE	-100	31	165	TRUE	763381	0.069556847	0.218853526	4587	743	8404	0.556425283	129	1.976658999	76.99338625	0.065404285	8	25360000	127
20220929 142320	binary	custom	TRUE	TRUE	FALSE	-100	31	159	TRUE	763381	0.051619439	0.521174099	246	436	8047	0.964588088	761	8.692519298	68.33851355	2.461424991	11	25350000	36
20220929 143858	binary	custom	TRUE	TRUE	FALSE	-100	31	403	TRUE	763381	0.031703149	0.943865112	3839	327	7369	0.770258122	702	1.681626639	67.5193851	0.060775169	15	25350000	73
20220929 143453	binary	custom	TRUE	TRUE	FALSE	-100	31	77	TRUE	763381	0.132904879	0.279565001	3304	242	7533	0.993082967	719	0.402603891	16.25291733	1.477772846	12	25340000	66
20220929 143602	binary	custom	TRUE	TRUE	FALSE	-100	31	95	TRUE	763381	0.203300583	0.971433818	5847	669	7859	0.754900826	937	0.098326825	10.35222398	0.286949422	13	25330000	68
20220929 145018	binary	custom	TRUE	TRUE	FALSE	-100	31	71	TRUE	763381	0.147461906	0.693862745	4131	663	9233	0.991731041	936	15.30244127	56.69617434	1.02139659	15	25300000	103
