Feature	Gain	Cover	Frequency
vabs_fe_01	0.257133778823712	0.0259238870416157	0.0140921409214092
ctrx_quarter	0.129868538693524	0.0328401193447976	0.0238482384823848
pesos_fe_suma_menos_tarjetas	0.0864996768841107	0.0124125941907163	0.00650406504065041
suma_fe_01	0.0511368533628059	0.00708817758402258	0.00704607046070461
cpayroll_trx	0.047353872846455	0.0435140401972544	0.0265582655826558
ranked_mtarjeta_visa_consumo	0.0417921661030656	0.0171841332057282	0.0157181571815718
mpayroll	0.0304385906997879	0.0540393442746824	0.0254742547425474
ranked_mcuentas_saldo	0.029271291531892	0.0477679142709596	0.043360433604336
cociente_fe_11	0.0279804808983961	0.00437954215578442	0.00867208672086721
ranked_mpasivos_margen	0.0232460544004771	0.00905161018114765	0.0140921409214092
cociente_fe_02	0.0204999989021918	0.00155698285897555	0.00650406504065041
mprestamos_personales	0.0158571061590193	0.0435563093708099	0.0357723577235772
Visa_status	0.0152824199186188	0.105050270681133	0.0439024390243902
mcomisiones_mantenimiento	0.0135463756031865	0.0515807856311117	0.037940379403794
mrentabilidad_annual	0.0126898738059073	0.0348228024570014	0.0330623306233062
Visa_msaldototal	0.0125587068204146	0.00423453360294849	0.0119241192411924
Visa_mpagominimo	0.0124130103065653	0.0300591995317987	0.0346883468834688
ranked_mcaja_ahorro	0.0120331711607627	0.00614660150797101	0.013550135501355
ctarjeta_visa_transacciones	0.0106792645564112	0.00932626485604278	0.0151761517615176
mactivos_margen	0.0094240362920301	0.0248655484956007	0.035230352303523
cdescubierto_preacordado	0.00821015137441442	0.056880634342653	0.0330623306233062
ranked_mcuenta_corriente	0.0078455585440626	0.0178805800593989	0.0287262872628726
cprestamos_personales	0.00780286204536664	0.00530786476195314	0.0124661246612466
mrentabilidad	0.00675546885255494	0.0107282340917806	0.0184281842818428
ccajas_consultas	0.00629052107925983	0.0385352333051982	0.018970189701897
ccaja_seguridad	0.00521802606446661	0.0185569068264375	0.016260162601626
Master_fechaalta	0.00520052018130697	0.0045787839873416	0.0238482384823848
Visa_fechaalta	0.00471085660242038	0.00269908013622608	0.0140921409214092
cociente_fe_04	0.004187597730138	0.0033272406352666	0.00542005420054201
ranked_mcuenta_debitos_automaticos	0.00413324608406743	0.0175594682743865	0.0200542005420054
Master_status	0.00383852057321376	0.0236633208451864	0.00975609756097561
ccomisiones_mantenimiento	0.00344616425232999	0.012739503119418	0.010840108401084
cproductos	0.0034050121917935	0.0154136355476293	0.0184281842818428
prod_fe_01	0.00295282303794659	0.00197328774139694	0.00650406504065041
ctarjeta_visa	0.00292492755323078	0.0102029728932258	0.00813008130081301
ranked_mcomisiones	0.00265444767636311	0.00187333698813258	0.0102981029810298
cociente_fe_08	0.00254821402830925	0.00326222267026813	0.010840108401084
ctarjeta_master	0.00244699059811027	0.00144167967000979	0.0043360433604336
cociente_fe_16	0.00238656534265619	0.00728387116383887	0.0140921409214092
ranked_mcomisiones_otras	0.00238584902566406	0.00297097617033112	0.00813008130081301
cociente_fe_13	0.00236092782730258	0.00749753588909209	0.0130081300813008
internet	0.00232708989513255	0.000496695273271906	0.0037940379403794
Visa_cconsumos	0.00232412142759583	0.000529938893807632	0.0010840108401084
cociente_fe_09	0.00210260466177928	0.0042901162168388	0.00596205962059621
ranked_ccomisiones_otras	0.00194076845419519	0.00973158515068041	0.0102981029810298
ranked_Visa_msaldopesos	0.00190596437892215	0.0038355801712938	0.00596205962059621
Master_msaldototal	0.00186373404377718	0.00229535905364068	0.00813008130081301
Visa_Fvencimiento	0.00184077717864651	0.00402792540087573	0.010840108401084
thomebanking	0.00176540604119917	0.00990149143615449	0.00813008130081301
tcallcenter	0.00175677240975586	0.0182540260588206	0.00921409214092141
master_fe_suma_all	0.00144294275264969	0.00668561593017504	0.00867208672086721
mtransferencias_recibidas	0.00143632148492863	0.0123536232462903	0.00650406504065041
ccajas_transacciones	0.00138818057872462	0.00208253391471488	0.0032520325203252
Master_mlimitecompra	0.00134722797026225	0.00338249341167114	0.0119241192411924
Master_mpagominimo	0.00132314153369358	0.0025838469127876	0.0102981029810298
cociente_fe_03	0.00128715623496489	0.0113872493883539	0.0119241192411924
ranked_chomebanking_transacciones	0.00112062200597919	0.00154139054146631	0.002710027100271
cociente_fe_10	0.0011179981997889	0.0034375662767198	0.00704607046070461
mautoservicio	0.00103701710581635	0.00316861878983606	0.0032520325203252
Visa_mpagospesos	0.00102364157678842	0.000773398938608958	0.0016260162601626
cociente_fe_15	0.000981396602320171	0.000668580583660625	0.0037940379403794
Master_mconsumospesos	0.000966643785978831	0.00352253441206983	0.00542005420054201
mtarjeta_master_consumo	0.000963758745870075	0.00402407729687506	0.00542005420054201
cociente_fe_14	0.000884901151205533	0.000916878244919945	0.0037940379403794
Visa_mconsumosdolares	0.000843788237974547	0.000316284163629738	0.002710027100271
cmobile_app_trx	0.000842035464555024	0.00738750010482335	0.00542005420054201
Master_mpagospesos	0.00084149941251254	0.00128807535239312	0.00704607046070461
cliente_edad	0.000829359175630218	0.00282185964153602	0.00596205962059621
ranked_ccuenta_debitos_automaticos	0.000827536162013286	0.00480712148317403	0.00596205962059621
cliente_antiguedad	0.000821784959001176	0.000505730821367004	0.0032520325203252
ccallcenter_transacciones	0.00076081401615554	0.00885821546865644	0.00650406504065041
cociente_fe_12	0.000743016767282858	0.00101825829395599	0.00542005420054201
Master_Fvencimiento	0.000726048823538009	0.00294958670913254	0.00596205962059621
tarjetas_fe_suma_all	0.000702091463038813	0.000213864626759749	0.0016260162601626
tmobile_app	0.000683385479218115	0.0123140627381483	0.00542005420054201
cociente_fe_07	0.000597348337672879	0.00263782031955035	0.0037940379403794
cociente_fe_01	0.000582511829253579	0.00036370080097835	0.0021680216802168
Master_msaldopesos	0.000519010526040742	0.000536505658297101	0.002710027100271
cseguro_vida	0.000512566981236503	0.000751669644849286	0.0032520325203252
Master_cconsumos	0.000418403458710317	0.000440662880991906	0.002710027100271
Visa_mfinanciacion_limite	0.00039602613179461	0.00160840752153007	0.0032520325203252
ranked_Visa_mconsumospesos	0.00034150155088274	0.000353835661631158	0.0016260162601626
ctarjeta_debito_transacciones	0.000337770738148578	0.00291276485162995	0.002710027100271
cociente_fe_06	0.000292830024925572	0.000672348727058691	0.0016260162601626
ranked_mcaja_ahorro_dolares	0.000273292639670519	0.000178831887740591	0.0016260162601626
cpagomiscuentas	0.00021672788241151	0.000127377239960099	0.000542005420054201
Master_mconsumototal	0.000207264068316711	0.00119651046732764	0.0016260162601626
ctarjeta_master_transacciones	0.000175156856560895	9.95009748746695e-05	0.0010840108401084
mpagomiscuentas	0.00016819830287083	0.000139131448543988	0.0016260162601626
ranked_Master_mfinanciacion_limite	0.000160088288402587	0.00100010723716318	0.0016260162601626
visa_fe_suma_all	0.000160038544650667	0.00102015735826801	0.0016260162601626
ctransferencias_emitidas	0.00014722936660715	0.00181284679225699	0.0010840108401084
Visa_msaldodolares	0.000116237710286421	6.76566648846447e-05	0.000542005420054201
mtransferencias_emitidas	8.58582590435796e-05	0.00120582587753188	0.000542005420054201
numero_de_cliente	6.22097346391735e-05	9.76119056379731e-05	0.000542005420054201
Master_msaldodolares	4.96621526667461e-05	0.000628010572910621	0.000542005420054201
