Feature	Gain	Cover	Frequency
pesos_fe_suma_menos_tarjetas	0.189601546277889	0.0287692463807294	0.0123574144486692
ctrx_quarter	0.174693064151952	0.0253404426986804	0.0171102661596958
vabs_fe_01	0.157734454262256	0.0136449973973878	0.0104562737642586
ranked_mcuentas_saldo	0.0724402910613344	0.0483407810061692	0.0361216730038023
ranked_mtarjeta_visa_consumo	0.0623838052359332	0.020781062187483	0.0228136882129278
cpayroll_trx	0.0602133708715886	0.0642480213057665	0.0275665399239544
ranked_mpasivos_margen	0.0167099706380419	0.00837544930581999	0.0161596958174905
mrentabilidad_annual	0.016337548655117	0.0246255096761913	0.0408745247148289
mprestamos_personales	0.015389967647431	0.0493454140078985	0.0237642585551331
Visa_mpagominimo	0.0146550303329733	0.0305630171465081	0.0313688212927757
mpayroll	0.0145655927639852	0.0318045801500585	0.0123574144486692
mcomisiones_mantenimiento	0.0143786147457748	0.0440742320504614	0.0418250950570342
ctarjeta_master	0.0121304694172393	0.00127986159755631	0.00380228136882129
cdescubierto_preacordado	0.0106122937697697	0.0301731261780732	0.0171102661596958
mactivos_margen	0.00989643427359439	0.0284725441191925	0.0389733840304183
mrentabilidad	0.00839868000343555	0.0126406950589893	0.0237642585551331
ctarjeta_visa	0.00814962032252022	0.0216548692149697	0.0133079847908745
ctarjeta_visa_transacciones	0.00810692082306879	0.00614218807200501	0.0104562737642586
ranked_mcaja_ahorro	0.00696080428226855	0.00546952160348997	0.00950570342205323
ccajas_consultas	0.00665507062203937	0.0380881559721036	0.0152091254752852
cprestamos_personales	0.00625810981977485	0.0106760880559562	0.00855513307984791
ranked_mcuenta_corriente	0.00566745681101825	0.0178201860199084	0.0247148288973384
ctarjeta_master_transacciones	0.00566152731584175	0.0119904358938235	0.00760456273764259
Visa_msaldototal	0.00548901810747244	0.0093727882634902	0.0171102661596958
Visa_fechaalta	0.00493593712208775	0.0181244351856983	0.032319391634981
ccomisiones_mantenimiento	0.00478432658240374	0.00939717954682357	0.00760456273764259
ranked_ccomisiones_otras	0.00467918708849035	0.0156043526886984	0.0180608365019011
cociente_fe_15	0.00465458810788491	0.00224841339467359	0.00760456273764259
ccaja_seguridad	0.00442449386652124	0.0430178988644418	0.0152091254752852
Master_fechaalta	0.0040839194933594	0.00728011729756485	0.0171102661596958
cociente_fe_05	0.00388221247498157	0.00104475996944593	0.00190114068441065
suma_fe_01	0.00346674043628072	0.00338667328356409	0.00665399239543726
ranked_mcuenta_debitos_automaticos	0.00284284382064697	0.0148384002593645	0.0114068441064639
cociente_fe_16	0.00284213529107437	0.00781656992462568	0.0161596958174905
ranked_chomebanking_transacciones	0.00266347419303223	0.00253185022141508	0.00665399239543726
thomebanking	0.00261753865640676	0.00945074700639303	0.0104562737642586
cociente_fe_02	0.00259473070755853	0.00862891247417495	0.0190114068441065
cociente_fe_13	0.00232694205487393	0.00828620910810588	0.0171102661596958
cliente_edad	0.00228462914841634	0.0117912015116994	0.026615969581749
Visa_Fvencimiento	0.0022212903461809	0.00546572870057928	0.0142585551330799
cociente_fe_11	0.00214763295864551	0.00307382687117662	0.00855513307984791
cmobile_app_trx	0.00211556462500822	0.00877189518851593	0.0142585551330799
cproductos	0.00203117307947304	0.00818220576521631	0.0104562737642586
Visa_status	0.00187383689099391	0.0231646974336188	0.0133079847908745
cociente_fe_08	0.00163906433431912	0.0037411832756167	0.0104562737642586
cociente_fe_10	0.00157411592901982	0.00865217561202719	0.0114068441064639
mtransferencias_recibidas	0.00155239300498112	0.0142606730683217	0.0114068441064639
cociente_fe_07	0.00145522732231562	0.00956500091253354	0.0114068441064639
ccallcenter_transacciones	0.00143657936193126	0.0121084632520906	0.00570342205323194
ccajas_transacciones	0.00142115001257898	0.00235959407691723	0.00190114068441065
Master_Fvencimiento	0.0014167350198294	0.00929274828668254	0.0152091254752852
tcallcenter	0.00140216447040645	0.0089611707691515	0.00475285171102662
cociente_fe_09	0.0013632110718557	0.00206526481104759	0.00475285171102662
mtarjeta_master_consumo	0.00134349847376742	0.00766695449288703	0.00380228136882129
internet	0.00130647781811363	0.0121860329793103	0.00760456273764259
ranked_mcomisiones	0.00123760670930076	0.00442598703344595	0.00665399239543726
prod_fe_01	0.00103644279261752	0.00163094825159722	0.00380228136882129
ranked_mcomisiones_otras	0.00102307267156239	0.00389653668868178	0.00570342205323194
cociente_fe_03	0.000973152040726028	0.00861523857291231	0.0123574144486692
ranked_Visa_msaldopesos	0.000904206112425768	0.00616486768633253	0.0104562737642586
cociente_fe_06	0.000845031523833207	0.00428419081693858	0.00665399239543726
ctransferencias_emitidas	0.00074602872578505	0.00426954437646806	0.00380228136882129
visa_fe_suma_all	0.000720038463835608	0.00410940607050026	0.00950570342205323
ctarjeta_debito_transacciones	0.000683531279919553	0.00406149878912061	0.00475285171102662
Master_status	0.00067535262659368	0.00836982802919851	0.00475285171102662
Visa_cconsumos	0.000656050088587633	0.00378981023601017	0.00855513307984791
cociente_fe_01	0.000646872491761668	0.00241930798428042	0.00570342205323194
ctransferencias_recibidas	0.000645512825961902	0.00585036795729168	0.00855513307984791
Master_mlimitecompra	0.000614806426745055	0.00437294474504875	0.00760456273764259
Master_mpagominimo	0.000481142194856032	0.00172619874161596	0.00380228136882129
Visa_mfinanciacion_limite	0.00047212604892749	0.00308363006639195	0.00285171102661597
mautoservicio	0.000445438465523738	0.00151095636413027	0.00190114068441065
Master_msaldopesos	0.000385934684540026	0.00181014832603926	0.00285171102661597
mtransferencias_emitidas	0.000358811119559021	0.00541348389433253	0.00475285171102662
Master_cconsumos	0.000346860844438414	0.000795089704001662	0.00190114068441065
cociente_fe_04	0.000328124725715704	0.00243580224924589	0.00475285171102662
master_fe_suma_all	0.000312800084166258	0.00260115336536787	0.00285171102661597
Visa_mconsumosdolares	0.000311154961150209	0.00423809245848556	0.00285171102661597
ranked_ccuenta_debitos_automaticos	0.00028140452065967	0.00394191536812097	0.00285171102661597
Visa_msaldodolares	0.000259959168094349	0.00358804725194556	0.00285171102661597
cociente_fe_14	0.000257614944142895	0.00130427233167384	0.00190114068441065
ranked_Visa_mconsumospesos	0.000243395665159187	0.00112975989621373	0.00190114068441065
cliente_antiguedad	0.000238943705359006	0.000672141297342795	0.00190114068441065
cociente_fe_12	0.000214139682375101	0.000520755844245823	0.00285171102661597
Master_mconsumospesos	0.000183492148276796	0.00118241316892778	0.000950570342205323
cseguro_vida	0.00018043040735719	0.00111128165126421	0.000950570342205323
Visa_cadelantosefectivo	0.000151792739098781	0.00290631671801317	0.00190114068441065
tarjetas_fe_suma_all	0.000117233782177838	0.00063117794590733	0.000950570342205323
