Feature	Gain	Cover	Frequency
vabs_fe_01	0.109202054338949	0.0152485979646281	0.0138742741338322
ctrx_quarter	0.0779599242209516	0.0108289685545873	0.0109902958026423
pesos_fe_suma_menos_tarjetas	0.0509868251324555	0.0121705486777128	0.0127830390895982
cpayroll_trx	0.0495703732420983	0.015151987932043	0.00307884173194591
ranked_mpasivos_margen	0.0399753743977656	0.00964392865829281	0.0124322849682373
cociente_fe_13	0.0299551656774645	0.0196631084533354	0.0176156514283487
ranked_mtarjeta_visa_consumo	0.0288114343331407	0.0131783670595214	0.0111851592033984
mpayroll	0.0278922103439494	0.0213954079251982	0.00549514790132117
ranked_mcuentas_saldo	0.0265312112823576	0.0268115629615382	0.0199540122374216
ranked_mcaja_ahorro	0.0245181184688525	0.00792510286375383	0.0104057056003741
cociente_fe_11	0.0240109235061268	0.00563219695912208	0.0123933122880861
suma_fe_01	0.0233176586998635	0.0068302628192754	0.0101718695194669
cociente_fe_02	0.0172451786573143	0.0139570906534509	0.0171479792665342
ctarjeta_visa_transacciones	0.016798195285589	0.00725441848562704	0.00775556335009159
Visa_msaldototal	0.015614567521957	0.0154259808865434	0.0160957169024514
mrentabilidad_annual	0.0147023433866163	0.0169167379832904	0.0188238045130364
mprestamos_personales	0.0136184733142072	0.0217137763936911	0.00475466697844811
Visa_status	0.0116146102993192	0.0217041822592248	0.00346856853345805
cprestamos_personales	0.0114835245118771	0.0140265381214824	0.00463774893799447
ranked_mcuenta_corriente	0.0113767927995063	0.0150161789523094	0.0155890720604856
mcomisiones_mantenimiento	0.011322494098012	0.0141835433554315	0.00697610974706731
Visa_mpagominimo	0.0106775945413141	0.0165559943000196	0.0181222962703145
Visa_cconsumos	0.0102570274217306	0.0076803995931449	0.0106005690011302
mactivos_margen	0.0101486715211731	0.0181625016603588	0.016212634942905
cociente_fe_04	0.00990942734161638	0.00711279307388269	0.011652831365213
Master_fechaalta	0.00899848426359589	0.015909620955193	0.0215129194434701
ranked_mcomisiones	0.00868999062762555	0.0106265847747627	0.0171090065863829
Master_status	0.00843639195233556	0.0134280681958918	0.0024942515296777
cdescubierto_preacordado	0.00818952226471556	0.0171835886590382	0.00319575977239955
cociente_fe_06	0.0077821091706671	0.0127062445638722	0.017303869987139
Master_Fvencimiento	0.00734109566391919	0.0115640929273991	0.0182002416306169
cociente_fe_03	0.00732904602703718	0.0100266621823071	0.0168361978253244
Visa_fechaalta	0.00731704326852132	0.0162205608388979	0.0189796952336412
mrentabilidad	0.00725479989624783	0.013982746748663	0.01348454733232
ctarjeta_debito_transacciones	0.00712090421533625	0.00631774811441007	0.00623562882419424
cociente_fe_10	0.00690366253956559	0.0110655380436629	0.017849487509256
ccomisiones_mantenimiento	0.00677930067697121	0.0145672914404309	0.00311781441209712
cliente_edad	0.00653991497629723	0.0140306347957629	0.0201878483183289
ranked_mcomisiones_otras	0.00651258997714366	0.00893290587342632	0.013835301453681
prod_fe_01	0.00646335308902388	0.00842690895428294	0.0144588643361004
Visa_Fvencimiento	0.00644587719477265	0.00937085803196064	0.0187068864725827
cociente_fe_05	0.00637538932157585	0.00838002586058305	0.0153552359795783
ranked_Visa_msaldopesos	0.00633633129822546	0.00594183213277238	0.00830118087220858
ccajas_consultas	0.00615653922321992	0.0145501745668427	0.00296192369149226
cociente_fe_09	0.00604807218314714	0.00817368375570324	0.0133286566117152
Visa_cadelantosefectivo	0.00586131877340586	0.000466949771839165	0.000116918040453642
cociente_fe_01	0.0056887923835973	0.0093305599770783	0.0153162632994271
cociente_fe_16	0.00546760101527257	0.0106886363237955	0.0164074983436611
cociente_fe_14	0.00542364536257366	0.0100076026550146	0.0187068864725827
cociente_fe_08	0.00529020514923873	0.00641818196585914	0.0141860555750419
cliente_antiguedad	0.0050185335164402	0.00821465242002454	0.0162516076230562
cociente_fe_15	0.00501088887159232	0.00616166713014618	0.0136014653727737
Visa_mpagospesos	0.00500995450701668	0.00872390823202889	0.0150824272185198
cociente_fe_12	0.00490578710145916	0.00850383304502796	0.0151993452589735
ccaja_seguridad	0.00483429904211654	0.0192346812546548	0.00276706029073619
cociente_fe_07	0.00476280040675694	0.00984713869043477	0.0151993452589735
cproductos	0.004728889978007	0.0109984713352155	0.00911960715538408
numero_de_cliente	0.00467748144478241	0.00713267308894146	0.0154331813398807
Master_mlimitecompra	0.00445854648949833	0.00884119378771781	0.0164074983436611
Visa_mfinanciacion_limite	0.00437398240116238	0.0087872683341503	0.0164074983436611
visa_fe_suma_all	0.00430215866368812	0.00880043456875137	0.0167192797848708
mttarjeta_visa_debitos_automaticos	0.00414965840951183	0.00603327712761552	0.00658638294555517
ranked_chomebanking_transacciones	0.00402858110193329	0.00771794987869281	0.0114969406446081
ranked_mcuenta_debitos_automaticos	0.00383987461666194	0.01129372587551	0.00518336646011146
ranked_Visa_mconsumototal	0.00330647002445903	0.00474515552942241	0.0097431700378035
mautoservicio	0.00329311001499249	0.00940577583919513	0.00720994582797459
ranked_Visa_mconsumospesos	0.00325349981878913	0.00612604604768343	0.0103667329202229
ccallcenter_transacciones	0.00316983204983929	0.017291412664935	0.00385829533497019
