fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	bagging_freq	lambda_l1	lambda_l2	min_gain_to_split	max_depth 	ganancia	iteracion
20220929 142014	binary	custom	TRUE	TRUE	FALSE	-100	31	58	TRUE	763381	0.120156400837666	0.464039248039422	7743	16	10705	0.242511551049823	36	6.66374619239822	2.34014029867678	4.49948533938661	8	21470000	25
20220929 142036	binary	custom	TRUE	TRUE	FALSE	-100	31	35	TRUE	763381	0.0321252233187393	0.609881413645053	6714	147	5004	0.359686174598372	559	57.859223226505	28.7220316119988	8.45026198059567	6	19520000	26
20220929 142109	binary	custom	TRUE	TRUE	FALSE	-100	31	110	TRUE	763381	0.0699303434501317	0.42195235587503	7635	609	14303	0.990377832378718	541	79.0574166844557	87.6913735715463	0.974891598081476	18	2.1e+07	27
20220929 142116	binary	custom	TRUE	TRUE	FALSE	-100	31	14	TRUE	763381	0.143375521988994	0.849483416644417	2361	174	14367	0.417201186404049	451	99.1221062712205	9.6038206742747	7.48685575334306	19	19110000	28
20220929 142127	binary	custom	TRUE	TRUE	FALSE	-100	31	95	TRUE	763381	0.0748581510913738	0.964831474729523	4082	980	12797	0.22315266890429	568	18.3567471211685	56.7297324308632	1.19770169678311	18	21290000	29
20220929 142139	binary	custom	TRUE	TRUE	FALSE	-100	31	69	TRUE	763381	0.0997109844110409	0.133617368868393	1141	68	7445	0.18766210044502	209	70.1858385669394	59.6230734075182	1.56177032710655	12	20870000	30
20220929 142147	binary	custom	TRUE	TRUE	FALSE	-100	31	20	TRUE	763381	0.231538589957636	0.577300833185394	927	196	8672	0.52224951409178	201	15.6902210435398	34.2879342792812	11.7406016366676	8	22180000	31
20220929 142154	binary	custom	TRUE	TRUE	FALSE	-100	31	13	TRUE	763381	0.280056371509272	0.934599592675926	1370	1013	14000	0.849545570129759	924	56.703620423032	77.7664286395224	12.3406000920917	15	2e+07	32
20220929 142159	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	763381	0.254780622791388	0.880223828988218	557	428	7252	0.0753096733205243	828	92.0546405192216	12.8817218382468	11.3169812704391	6	-12100000	33
20220929 142230	binary	custom	TRUE	TRUE	FALSE	-100	31	175	TRUE	763381	0.0142029094955069	0.990329334347557	5666	893	9834	0.478292467462997	337	32.76095523113	40.7411605683865	13.564072349271	9	22100000	34
20220929 142235	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	763381	0.262620242605335	0.345617956602978	7275	484	5804	0.0479623417694757	14	76.7553120711399	94.699531493962	5.46233616908668	11	-9200000	35
20220929 142320	binary	custom	TRUE	TRUE	FALSE	-100	31	159	TRUE	763381	0.0516194386079653	0.521174098810541	246	436	8047	0.964588088352407	761	8.69251929781045	68.3385135476188	2.46142499139706	11	25350000	36
20220929 142332	binary	custom	TRUE	TRUE	FALSE	-100	31	25	TRUE	763381	0.114348835532252	0.287877970739554	3558	619	9416	0.880807143406662	101	94.7524049403143	90.3165782852656	9.0153228219987	7	22130000	37
20220929 142343	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	763381	0.0213312496354179	0.217575573535313	3375	793	14808	0.00606984278159004	152	36.8505853746713	1.1864007443786	10.0912361520199	20	-24650000	38
20220929 142407	binary	custom	TRUE	TRUE	FALSE	-100	31	252	TRUE	763381	0.130312160571841	0.0684003948668463	7443	878	9145	0.696767070615049	943	44.3159672759669	14.7778759095103	0.0209228251909578	16	22910000	39
20220929 142431	binary	custom	TRUE	TRUE	FALSE	-100	31	186	TRUE	763381	0.167068428194828	0.092194522092865	2788	248	8464	0.907222656383932	58	12.9015507311776	21.6209500169492	1.96880508839987	20	25160000	40
20220929 142442	binary	custom	TRUE	TRUE	FALSE	-100	31	69	TRUE	763381	0.086920626637928	0.138702145808636	727	797	10596	0.164989449519043	842	3.00270118289354	8.58593052632314	13.7886159089235	6	21530000	41
20220929 142448	binary	custom	TRUE	TRUE	FALSE	-100	31	15	TRUE	763381	0.295596978602963	0.253457733593765	5547	971	13300	0.314843323993713	75	86.4295417476162	29.6990717141124	14.884228297725	11	17960000	42
20220929 142455	binary	custom	TRUE	TRUE	FALSE	-100	31	36	TRUE	763381	0.107496522981118	0.402294392312649	1954	505	14628	0.043793997526209	743	47.5671749937186	85.0055375122401	0.484396076661688	7	-22210000	43
20220929 142502	binary	custom	TRUE	TRUE	FALSE	-100	31	13	TRUE	763381	0.201863521593279	0.71589335127957	6339	222	6886	0.757110032561384	697	71.9600177098066	58.8961868507069	9.29537675273532	17	21190000	44
20220929 142514	binary	custom	TRUE	TRUE	FALSE	-100	31	10	TRUE	763381	0.224332022641986	0.588943003335176	120	904	12782	0.201285769749709	72	20.445988904922	24.1909648699334	13.5903327546371	15	19880000	45
20220929 142532	binary	custom	TRUE	TRUE	FALSE	-100	31	47	TRUE	763381	0.0886186382267229	0.405557054484715	2582	461	8658	0.933102745909897	519	35.517963072624	66.1521720104065	5.57491548316153	16	23250000	46
20220929 142553	binary	custom	TRUE	TRUE	FALSE	-100	31	63	TRUE	763381	0.145927398440643	0.26060766863607	390	533	7190	0.900322661534828	163	0.157383670643865	31.1184863295856	2.71199525635529	10	26260000	47
20220929 142611	binary	custom	TRUE	TRUE	FALSE	-100	31	34	TRUE	763381	0.234427966286224	0.573283560287883	1481	544	8007	0.962105440001749	226	2.59650230099734	22.4775962273176	0.388570894257589	9	25670000	48
