fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 030843	-0.916421016	2034.189151	571.2071632	20	5	21133333.33	116
20220911 023908	-0.295307347	3005.509088	126.2396192	14	5	21120000	16
20220911 025746	-0.206696568	1065.894978	456.1131622	20	5	21066666.67	80
20220911 023548	-0.362754626	2227.663365	570.2719761	8	5	20960000	3
20220911 025701	-0.370494779	2920.222508	228.3812522	20	5	20933333.33	78
20220911 024043	-0.755690086	2172.830021	469.8202934	10	5	20880000	21
20220911 024352	-0.096971653	889.5263685	444.6464089	11	5	20866666.67	32
20220911 025051	-0.299886513	2900.403814	583.2739021	20	5	20640000	57
20220911 024752	-0.191186929	467.947573	233.2771665	3	5	20453333.33	46
20220911 025010	-0.586244785	3207.856036	242.3994609	9	5	20413333.33	55
20220911 023606	-0.109008497	2703.084751	559.9040888	20	5	20293333.33	4
20220911 025505	-0.999891492	3802.12092	256.5162898	15	5	20026666.67	72
20220911 024138	-0.746092024	944.9457737	179.1605631	3	5	19986666.67	25
20220911 023521	-0.389353896	4477.485752	333.2740593	15	5	19933333.33	1
20220911 023937	-0.676398089	1797.453697	898.5677215	4	5	19920000	18
20220911 024410	-0.2238549	2803.336519	999.7873475	15	5	19840000	33
20220911 023623	-0.069175464	2960.714586	769.2671299	13	5	19800000	5
20220911 030427	-0.489523932	4103.088251	222.8705219	5	5	19773333.33	103
20220911 024517	-0.634137765	4414.721651	56.16129142	10	5	19573333.33	37
20220911 030524	-0.184510643	2795.304645	776.2073039	20	5	19306666.67	106
20220911 023823	-0.237989313	203.7380534	10.92269772	9	5	19293333.33	13
20220911 023807	-0.463792166	3818.858179	969.5091944	10	5	19253333.33	12
20220911 025151	-0.999958963	1146.01028	527.4629603	3	5	19200000	61
20220911 025515	-0.120590583	3114.511814	861.859992	3	5	19186666.67	73
20220911 023733	-0.527823394	3451.972165	446.8574538	18	5	19160000	9
20220911 024053	-0.573091468	2967.325566	612.9671121	3	5	19040000	22
20220911 025445	-0.789148147	4999.689759	208.284355	20	5	18986666.67	71
20220911 030251	-0.993556497	4997.986259	104.1861782	12	5	18826666.67	97
20220911 023744	-0.868782448	3176.386736	73.98797562	6	5	18800000	10
20220911 024819	-0.999650992	3849.738881	999.8044519	3	5	18786666.67	48
20220911 024954	-0.999868181	4994.122143	247.1190738	3	5	18693333.33	54
20220911 024332	-0.25953101	1729.242679	1.280139137	12	5	18573333.33	31
20220911 030326	-0.473089762	4996.654226	115.6378075	15	5	18560000	99
20220911 024312	-0.970460363	4598.756358	838.2973602	16	5	18453333.33	30
20220911 025958	-0.374523081	4998.683852	71.87401426	5	5	18200000	87
20220911 030415	-0.734265704	4988.936715	577.5042824	15	5	18040000	102
20220911 025220	-0.607933622	4998.759191	955.5913726	3	5	17746666.67	63
20220911 024201	-0.947072849	11.21341149	4.787075653	14	5	12120000	26
20220911 024007	-0.650459331	8.596987644	1.2868082	20	5	6213333.333	19
20220911 023753	0.08137285	4252.698814	210.658035	5	5	-980000	11
20220911 024830	0.099389515	2009.16237	999.2376083	20	5	-1060000	49
20220911 023656	0.002613767	4878.828652	378.4350701	14	5	-1260000	7
20220911 023831	0.087642748	4995.247012	802.3781875	5	5	-1340000	14
