fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 072547	-0.865333001	2000.417498	997.8742796	3	5	22173333.33	82
20220911 071248	-0.575145628	144.6827339	67.86832319	9	5	22080000	36
20220911 072102	-0.453653579	1022.246524	509.5819569	14	5	22040000	64
20220911 071008	-0.273993841	2534.402646	2.729686359	7	5	21866666.67	26
20220911 072919	-0.101066983	3600.860929	461.2132955	20	5	21866666.67	94
20220911 070721	-0.01478674	879.3611503	212.7814742	3	5	21826666.67	15
20220911 071325	-0.622501466	2760.171197	2.426483215	11	5	21733333.33	38
20220911 070907	-0.322152698	3014.415807	532.1869444	10	5	21653333.33	22
20220911 071704	-0.11054301	2711.217061	315.9503942	3	5	21613333.33	52
20220911 073326	-0.185413669	1971.979478	524.3521067	3	5	21573333.33	109
20220911 071557	-0.960805953	201.8331049	100.1389852	8	5	21546666.67	47
20220911 070939	-0.822028668	3375.235241	617.5777188	14	5	21466666.67	24
20220911 072635	-0.071057589	1192.411351	326.1737366	3	5	21453333.33	85
20220911 070806	-0.15117089	3382.886191	249.1840308	20	5	21386666.67	18
20220911 070639	-0.152497184	2933.257103	761.1603678	12	5	21373333.33	12
20220911 071024	-0.271099802	3597.029898	996.5551582	12	5	21346666.67	27
20220911 073020	-0.536050994	4999.375552	783.8865834	20	5	21320000	98
20220911 072402	-0.999900794	425.8652704	210.8885939	20	5	21306666.67	75
20220911 071941	-0.652250909	2046.055892	1.921482159	20	5	21280000	60
20220911 070420	-0.07880608	3208.801551	395.5031156	18	5	21240000	2
20220911 071038	-0.872476689	4998.976411	841.0667899	8	5	21226666.67	28
20220911 072625	-0.150369194	2904.067107	763.0863541	18	5	21226666.67	84
20220911 070815	-0.301504252	534.9602567	228.3796548	3	5	21200000	19
20220911 070624	-0.763581209	3815.612256	974.9188975	6	5	21173333.33	11
20220911 071344	-0.764451131	272.1491172	133.8802054	12	5	21106666.67	39
20220911 071158	-0.396531601	4999.559237	486.8619227	16	5	21013333.33	33
20220911 071620	-0.999996969	2765.871615	585.1049436	3	5	21013333.33	49
20220911 072929	-0.079397419	4735.924554	952.2822617	3	5	2.10E+07	95
20220911 070736	-0.673842619	4383.275198	858.1758749	16	5	20986666.67	16
20220911 071541	-0.999963879	3809.208836	964.1349062	12	5	20960000	46
20220911 070553	-0.328621806	4436.764798	870.350091	20	5	20920000	8
20220911 070955	-0.118152297	4937.263256	986.1207805	19	5	20893333.33	25
20220911 070436	-0.491956731	3548.351054	171.4261003	13	5	20866666.67	3
20220911 070825	-0.269532184	4963.853628	992.6793452	3	5	20720000	20
20220911 070501	-0.598247544	4859.754224	578.3177067	4	5	20706666.67	5
20220911 070600	-0.813512803	1847.917829	60.88766901	3	5	20466666.67	9
20220911 070613	-0.207705721	4368.102976	240.8125461	9	5	20386666.67	10
20220911 070701	-0.932590735	3122.283623	20.03724061	19	5	20346666.67	13
20220911 070746	-0.047641143	19.70543424	1.136225626	3	5	20133333.33	17
20220911 072024	-0.137344291	4487.165607	13.89971231	17	5	19413333.33	62
20220911 070852	-0.247412008	22.46822093	4.222243282	20	5	10880000	21
20220911 070357	0.054926634	2907.905515	338.643509	10	5	-1220000	1
20220911 070527	0.023860045	2208.888907	520.6569825	14	5	-1500000	7
