Feature	Gain	Cover	Frequency
pesos_fe_suma_menos_tarjetas	0.163215690417813	0.0331211410555493	0.0273138684828306
ctrx_quarter	0.0988690779182683	0.0204261624470078	0.0206549972775393
cociente_fe_02	0.0508304578946837	0.0130730333182502	0.0157991984361471
r_mcuentas_saldo	0.0438021050648397	0.0352201106007065	0.0342137444100294
cpayroll_trx	0.0425118200544622	0.023271390130186	0.00671242781015969
mpayroll	0.0398894409849315	0.0426554627815672	0.0193696387607002
r_mpasivos_margen	0.038427389039457	0.0136637345792902	0.0192000428452839
r_mcaja_ahorro	0.0370585359828891	0.0188590382950661	0.0266354848211656
r_mtarjeta_visa_consumo	0.0336439312612011	0.0183974324385519	0.0198873526077604
r_mrentabilidad_annual	0.0278352843737697	0.0259157255709032	0.0273584989868876
mprestamos_personales	0.0215372700638176	0.0268991890885254	0.0110326606028688
cociente_fe_03	0.016734712456281	0.0165837261367934	0.0254483134132517
ctarjeta_visa_transacciones	0.0166939995837501	0.0158099793130986	0.0194142692647571
r_mactivos_margen	0.0148940860547776	0.0153496076456007	0.0218421686854531
mcomisiones_mantenimiento	0.0147725870245644	0.0200513760384611	0.013603377636547
Visa_mpagominimo	0.0146334666862067	0.0176927308245476	0.0203872142531978
Visa_status	0.0140594948051321	0.0277715970588393	0.00548955199900028
r_mrentabilidad	0.0124713882914273	0.0119852597478841	0.0180485758406155
cociente_fe_01	0.011088026954654	0.0126361898162071	0.0211459328221653
cdescubierto_preacordado	0.011029334661428	0.015615323558055	0.00497183815194009
cprestamos_personales	0.0109827174479898	0.0115555047836258	0.00699806303612393
Master_status	0.00992732435811968	0.0128775692077298	0.00290990886451072
r_ccomisiones_otras	0.00919186712120551	0.0210164608718191	0.024966303969437
Visa_fechaalta	0.00912709280705166	0.0202848957157081	0.0186466245949782
cproductos	0.00865782277477792	0.0113895834019276	0.0119163445831957
ctarjeta_debito_transacciones	0.00853717382283583	0.0125343600234397	0.0182628022600887
Master_fechaalta	0.00845620101689951	0.0162496422854535	0.0222438432219654
r_Visa_msaldototal	0.00803713792857279	0.00880957565586604	0.0150404798671796
cliente_edad	0.00788246032231317	0.013239768804753	0.021815390383019
ctarjeta_visa	0.00776405580690464	0.00397244125838473	0.0019458899768814
Visa_cconsumos	0.00773074027421542	0.00806851605996545	0.0131213681927324
Master_Fvencimiento	0.00715225707131892	0.00979612656247151	0.0178611277235765
r_Visa_msaldopesos	0.00677339037183646	0.0112901365138541	0.01523685408503
ccaja_seguridad	0.00659082702206096	0.0227747321557439	0.00446305040569128
ccajas_consultas	0.00634712337044883	0.0153580875206927	0.0038382233488945
Visa_Fvencimiento	0.00618245403783629	0.00791762533735838	0.0156653069239764
