Feature	Gain	Cover	Frequency
pesos_fe_suma_menos_tarjetas	0.304150822906449	0.0411398247314678	0.0331652383751508
ctrx_quarter	0.0893749302972971	0.0179115661375935	0.0148501067351422
cpayroll_trx	0.0521663489104223	0.0295930393305701	0.0099619466014912
mpayroll	0.0427282877699109	0.045170572522947	0.0222751601027132
mcaja_ahorro	0.0411804726413813	0.0159360270220893	0.0215017170435913
mpasivos_margen	0.0342481733224891	0.0106488705502544	0.0155307366271695
mtarjeta_visa_consumo	0.032934143761959	0.0208502539640442	0.0206663985397395
mcuentas_saldo	0.0292875555778116	0.0282731406646393	0.0326702348173128
mrentabilidad_annual	0.028024126611854	0.0326656909061614	0.0383318380100857
mprestamos_personales	0.0245627136398424	0.0355834898680423	0.0155307366271695
mcomisiones_mantenimiento	0.0206528381381554	0.0215081252486174	0.016180428796832
ctarjeta_visa_transacciones	0.0177836820920868	0.0157341605391943	0.0181295053058194
mrentabilidad	0.0136562243168983	0.0168956812097889	0.0226773504934567
cdescubierto_preacordado	0.0133175241665932	0.026236702162099	0.00934319215419361
Visa_mpagominimo	0.0128866144159658	0.0215241211785267	0.0254926832286607
cociente_fe_01	0.0118615708207309	0.0217805528017108	0.022862976827646
mactivos_margen	0.0114813569421305	0.0210428222905331	0.0235126689973084
Visa_msaldopesos	0.011154579260911	0.0116552887295341	0.0188101351978467
mcuenta_corriente	0.00857141255778455	0.017476801684947	0.0183770070847384
ccajas_consultas	0.00854136211244287	0.0307696309323511	0.00804380781486867
Visa_msaldototal	0.00832127776209495	0.0105141835108188	0.0134579092287226
cprestamos_personales	0.00824185893244376	0.0183965198618755	0.00801287009250379
Master_status	0.00753680698911006	0.00533912725036807	0.00439315657581289
Visa_fechaalta	0.00729220222201489	0.0187268452601767	0.0202023327042663
cproductos	0.00695578101363269	0.00870709351181563	0.0126225907248708
ctarjeta_master	0.00676361818246159	0.00492511769176845	0.0034650249048665
cociente_fe_03	0.00651051960428451	0.0128732486224521	0.0183460693623735
Master_fechaalta	0.00634212885608878	0.0230521716522795	0.023883921665687
ctarjeta_visa	0.00576501846224797	0.0115433766789968	0.0049809733007456
cliente_edad	0.0056321869426052	0.0132716829787959	0.023110478606565
ccaja_seguridad	0.00536215634158087	0.0185281797696076	0.00476440924419144
ccomisiones_otras	0.00510826084551526	0.0138253394967531	0.0160566779073725
mautoservicio	0.00507739705747215	0.0168049635970365	0.0207592117068341
cociente_fe_02	0.0044233070494661	0.00591892457845138	0.0111066423289917
chomebanking_transacciones	0.00383186507678326	0.00694909166717249	0.0142004145654797
mcomisiones_otras	0.00368695962608685	0.00670578689730548	0.0100547597685858
mcuenta_debitos_automaticos	0.00366301696777215	0.0138242767642903	0.0103022615475049
ctarjeta_debito_transacciones	0.00362722253522879	0.0103419561245137	0.0136744732852767
Master_Fvencimiento	0.00358216525103241	0.00928014640250577	0.0151904216811558
Visa_Fvencimiento	0.00348122020068771	0.00632890373171226	0.0131485320050738
thomebanking	0.00346656833381324	0.00578348188505494	0.00686817436500325
Visa_status	0.00336857417201779	0.010750200434767	0.00488816013365096
ccomisiones_mantenimiento	0.0032521308134376	0.00501057507988728	0.00327939857067723
Visa_mconsumospesos	0.00313513822036196	0.00907042081736104	0.0168301209664944
ccallcenter_transacciones	0.00303693452232913	0.0138322924163646	0.00479534696655632
cmobile_app_trx	0.00279369408452799	0.00819552932793387	0.0073941156452062
mcomisiones	0.00273382075899107	0.00579388416931016	0.00912662809763945
Visa_cconsumos	0.00270341143062661	0.00619854664968349	0.0119728985552084
mtransferencias_recibidas	0.00244963194316388	0.00857373338267172	0.0122204003341274
