Feature	Gain	Cover	Frequency
pesos_fe_suma_menos_tarjetas	0.24247608499374	0.0348960995764749	0.0309092276453335
ctrx_quarter	0.0890335412993173	0.0134999209542485	0.0107543054824396
cpayroll_trx	0.0633154833016498	0.0281654419574155	0.0164698804241558
mpasivos_margen	0.0609172709179206	0.0134536333487541	0.0148905768218395
mcaja_ahorro	0.0542538902096314	0.0128352001752767	0.0147401669549522
mpayroll	0.0430242281253721	0.0367934669123138	0.0197788974956757
mtarjeta_visa_consumo	0.0329061672821161	0.0114308590549271	0.0122584041513123
mprestamos_personales	0.0305475930707322	0.0435174057309307	0.0261713168383846
mcuentas_saldo	0.0276830556589399	0.0279696405022637	0.0356471384522825
mrentabilidad_annual	0.0229868682024632	0.0465739955043306	0.0456493946002858
ctarjeta_visa_transacciones	0.0191058651995072	0.00806778448966949	0.00917500188012334
mcomisiones_mantenimiento	0.018227192566514	0.0301248475105878	0.0266225464390464
mautoservicio	0.0178902627791691	0.0072664910831562	0.00789651801158156
Visa_msaldototal	0.0147066172730046	0.0133971112118112	0.0179739790930285
Visa_mpagominimo	0.0143090532795822	0.0196171947700679	0.0282770549748064
cprestamos_personales	0.0136826693959797	0.0141985004707765	0.0127096337519741
ctarjeta_debito_transacciones	0.0133984081445627	0.00329856700618545	0.00323381213807626
Visa_msaldopesos	0.0109791651653306	0.0170045079716257	0.0243663984357374
Visa_status	0.0109629164831087	0.0433743094311525	0.0223358652327593
cdescubierto_preacordado	0.0108323763153791	0.0341852053020706	0.0209069714973302
mrentabilidad	0.00987240148080066	0.0238473095361828	0.0322629164473189
mcuenta_corriente	0.00881282304378262	0.0133978118475911	0.0276754155072573
ccomisiones_mantenimiento	0.00824886573785554	0.00644929872172345	0.00782131307813793
mactivos_margen	0.00801906909439625	0.0182028678782046	0.0261713168383846
cociente_fe_03	0.00773221954217464	0.00592976131556139	0.012333609084756
ccajas_consultas	0.00772064157436886	0.035547169368746	0.0181995938933594
Master_status	0.00746032083707145	0.0291587449417249	0.0167707001579304
cociente_fe_01	0.00697487108122204	0.0231762670597837	0.0281266451079191
ccomisiones_otras	0.00674192913701329	0.00800101983357369	0.0104534857486651
Master_fechaalta	0.00659961182797682	0.0198304813099991	0.0321125065804317
ccaja_seguridad	0.00647192809907141	0.0361631229305791	0.0194780777619012
Visa_fechaalta	0.00644416107582051	0.0187332697033567	0.0272241859065955
cproductos	0.00637715370439544	0.0091202923384762	0.0139129126870723
ctarjeta_master	0.00505585376130568	0.00541788411785224	0.00706926374370159
ctarjeta_visa	0.00367145761338355	0.00702930875517015	0.00706926374370159
