particion	semilla	public_corte	public_gan	private_corte	private_gan
381841	838459	7646	27592000	8984	25664000
381841	324983	8321	26500000	9931	24852000
381841	464033	9211	27060000	9513	26052000
381841	670139	9509	27536000	11347	25268000
381841	529957	9183	26604000	10386	25388000
381841	558913	8401	27292000	11252	25808000
381841	222347	9860	27328000	8582	25720000
381841	288313	10542	26616000	9401	25876000
381841	190829	10925	26692000	7948	25384000
381841	624737	7691	27232000	11812	25168000
381841	489817	9450	26380000	12357	24848000
381841	850181	7306	26336000	10750	25208000
