fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220930 150924	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	153	TRUE	763381	0.0960364547529201	0.51018268818297	7595	541	6954	24340000	104
20220930 151005	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	235	TRUE	763381	0.0410068238395993	0.219552618875971	5109	184	7432	24820000	105
20220930 151037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	224	TRUE	763381	0.0565967078676131	0.826576507527334	5851	679	7651	24620000	106
20220930 151116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	170	TRUE	763381	0.0452355688840965	0.542423834104214	6536	991	7492	25020000	107
20220930 151233	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	460	TRUE	763381	0.0203161504764626	0.337479625822923	6275	888	6967	24630000	108
20220930 151519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	752	TRUE	763381	0.00918791982455825	0.259312513117446	1050	801	6741	25160000	109
20220930 151854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1660	TRUE	763381	0.00866399831268732	0.0757565831385701	1272	912	6846	23910000	110
20220930 152023	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	202	TRUE	763381	0.0120876333817393	0.33258536998471	1287	608	6786	24990000	111
20220930 152523	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1432	TRUE	763381	0.0038253580362966	0.328479520936735	5216	435	7354	25060000	112
20220930 152618	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	332	TRUE	763381	0.0446528779100956	0.496910460196789	7218	172	7478	24570000	113
20220930 152718	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	383	TRUE	763381	0.0434130455290058	0.33256411162971	3071	7	7482	25040000	114
20220930 152809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	290	TRUE	763381	0.0393331347939352	0.349742579488477	5822	19	7348	24990000	115
20220930 152838	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	135	TRUE	763381	0.045199557888326	0.781673939912382	3740	953	7457	24850000	116
20220930 152930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	198	TRUE	763381	0.0323726220688458	0.508179669198184	3256	966	7427	24750000	117
20220930 154254	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4429	TRUE	763381	0.00136734119927326	0.288506427738397	6662	20	7195	24570000	118
20220930 154624	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	978	TRUE	763381	0.0088207965512844	0.417326885360581	4859	355	7282	25040000	119
20220930 154655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	763381	0.0489708738211458	0.340318594208974	4909	158	7423	25160000	120
20220930 154855	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	501	TRUE	763381	0.00910367011404437	0.363419946562239	3962	150	7406	25190000	121
20220930 154941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	169	TRUE	763381	0.0460950774287545	0.409137254732166	1260	969	7013	25180000	122
20220930 155012	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	763381	0.0464151419118609	0.360721541079285	3944	1007	7241	25280000	123
20220930 155045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	134	TRUE	763381	0.0465516542777269	0.35849475779572	4223	941	7434	25060000	124
20220930 155116	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	763381	0.0464974419181512	0.458522969507646	3331	1023	7180	24680000	125
20220930 155154	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	172	TRUE	763381	0.044822329247969	0.309916050613717	2950	909	7039	24890000	126
20220930 155229	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	104	TRUE	763381	0.0407384815825157	0.410788524675769	2297	839	6840	24880000	127
20220930 155303	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	174	TRUE	763381	0.0372311860040645	0.74271624636974	6381	884	7592	24180000	128
20220930 155346	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	296	TRUE	763381	0.0481351255365899	0.925867509155449	6533	623	7396	24410000	129
20220930 155420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	105	TRUE	763381	0.0530208127148587	0.367624032994683	1817	916	6949	25230000	130
20220930 155457	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	245	TRUE	763381	0.0546823843957495	0.631024735731751	5013	953	7532	24860000	131
20220930 155510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	763381	0.177599134923002	0.822766835760031	7960	862	7561	24560000	132
20220930 155526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	763381	0.101540677195844	0.850340806242703	5072	342	7263	24920000	133
20220930 155545	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	87	TRUE	763381	0.0929481982973209	0.830100099005277	4868	406	7534	24460000	134
20220930 155610	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	763381	0.0986372894319793	0.715370580500643	3734	55	7117	24650000	135
20220930 155653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	154	TRUE	763381	0.0350318552932087	0.36924718614526	1773	980	7246	25270000	136
20220930 155742	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	763381	0.032852895704738	0.368071115115505	414	965	6945	24590000	137
20220930 155816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	152	TRUE	763381	0.0488274897826241	0.385897739714248	5342	570	6990	25140000	138
20220930 155856	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	152	TRUE	763381	0.0356671290823298	0.36656193267846	4779	805	7274	24820000	139
20220930 155938	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	763381	0.0455092426562023	0.36714004601173	603	975	7257	24930000	140
20220930 160025	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	115	TRUE	763381	0.0290697032305104	0.332034968534919	2427	1021	7224	24680000	141
