fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220925 025740	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1359	TRUE	763381	0.00530048551146329	0.275823096351167	3750	154	10454	25660000	37
20220925 030104	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	774	TRUE	763381	0.00627353981054238	0.804854415433949	1891	64	9964	26640000	38
20220925 030519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1074	TRUE	763381	0.0053254647015682	0.774646627001075	1911	875	8311	26740000	39
20220925 030909	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1061	TRUE	763381	0.00610436695137436	0.739225828304715	2030	34	8225	26670000	40
20220925 031355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1369	TRUE	763381	0.00521189079263268	0.994163412863732	1961	249	8229	26670000	41
20220925 031757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1112	TRUE	763381	0.00560808982097325	0.788304387512303	1990	405	10524	26560000	42
20220925 032212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1069	TRUE	763381	0.00519500207772548	0.349179023546749	1951	28	10567	26070000	43
20220925 032543	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1078	TRUE	763381	0.00511186589390671	0.999715317262296	4689	228	10205	25590000	44
20220925 032612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	159	TRUE	763381	0.0921150955950139	0.243565557770462	8000	1024	8896	25490000	45
20220925 033109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1532	TRUE	763381	0.0051752821424267	0.773715497279983	2006	271	9500	26760000	46
20220925 033547	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1355	TRUE	763381	0.00524522558671444	0.774324192100204	2029	227	8659	26850000	47
20220925 033842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	411	TRUE	763381	0.00536563325905851	0.772575615162534	1580	219	8762	26400000	48
20220925 034143	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	901	TRUE	763381	0.00513920358685561	0.812172977349036	5238	1021	8386	26190000	49
20220925 034437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1090	TRUE	763381	0.00702874647763184	0.98424794395352	5597	1023	10797	25770000	50
20220925 035336	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	243	TRUE	763381	0.00500188082875802	0.774735841767179	1	1024	8190	24980000	51
20220925 035650	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	675	TRUE	763381	0.00518896430944185	0.76941673554145	2085	302	8323	26640000	52
20220925 035906	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	681	TRUE	763381	0.0101019828859386	0.860956413735399	2031	43	8913	26740000	53
20220925 040230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	556	TRUE	763381	0.00524512008457088	0.398334705779092	2039	137	8728	26630000	54
20220925 040300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	763381	0.0895013537821139	0.851509970916372	1967	130	8722	26400000	55
20220925 040543	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	519	TRUE	763381	0.00541727438015364	0.833981125305216	2429	125	9511	26340000	56
20220925 041101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1447	TRUE	763381	0.00505861340551057	0.485738615391343	5316	631	9745	25950000	57
20220925 041330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	729	TRUE	763381	0.00522513562847818	0.933809126603354	7993	16	10647	25510000	58
20220925 041615	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	980	TRUE	763381	0.00569005416354105	0.999624665051859	7514	827	8235	26090000	59
20220925 042220	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3173	TRUE	763381	0.00528074979872189	0.99864179776497	6830	44	9014	26060000	60
20220925 042603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1520	TRUE	763381	0.00575411134376569	0.896229339791127	6529	647	8614	26140000	61
20220925 042621	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	763381	0.221331335515988	0.983730828082326	7999	22	8743	26360000	62
20220925 042643	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	763381	0.299824088995129	0.997411325365358	7997	606	8811	26140000	63
20220925 042658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	763381	0.146420429501165	0.999906350841228	7419	372	9132	25980000	64
20220925 042710	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	763381	0.298573523975369	0.982029197486624	7996	31	7452	25660000	65
20220925 043159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1461	TRUE	763381	0.00546098108720926	0.987350763186781	1709	1023	10058	26290000	66
20220925 043213	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	763381	0.299591791680723	0.800454764364439	7996	16	9750	25860000	67
20220925 043637	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1906	TRUE	763381	0.00513672123506915	0.786766579027674	3376	20	8710	26420000	68
20220925 043931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	712	TRUE	763381	0.00538375586629622	0.761688853262832	3577	1024	8168	26070000	69
20220925 044205	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	878	TRUE	763381	0.00590494818381013	0.893845375754063	7998	289	8481	26160000	70
20220925 044512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	727	TRUE	763381	0.00585129719397003	0.283307594784808	3114	22	7971	26220000	71
20220925 044828	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	675	TRUE	763381	0.00522050076111049	0.406781734839844	3077	16	5005	23910000	72
20220925 045145	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	828	TRUE	763381	0.00520105961257582	0.602723459786687	3069	16	9865	25870000	73
20220925 045453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	713	TRUE	763381	0.00565061510063526	0.328319246131892	4855	17	8659	26210000	74
20220925 045505	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	763381	0.209607628555346	0.984971608899311	7998	1024	7735	25570000	75
20220925 045952	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	863	TRUE	763381	0.00510615537896424	0.565901452965299	1967	1024	11384	25560000	76
20220925 050249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	872	TRUE	763381	0.0052066916168662	0.864851167365843	3976	18	7980	26120000	77
20220925 050301	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	763381	0.299723673196853	0.945714196266887	1962	505	10376	25570000	78
20220925 050905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1900	TRUE	763381	0.00523193265627494	0.305670587170896	2002	1024	8170	26860000	79
20220925 051431	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1308	TRUE	763381	0.00522386033935757	0.498200697632929	1997	1021	8165	26550000	80
20220925 051708	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	648	TRUE	763381	0.0081084408227087	0.20089480504679	1954	1023	6055	25730000	81
20220925 051726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	763381	0.229897298207319	0.998949356958403	1708	1020	5007	23430000	82
20220925 051914	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	176	TRUE	763381	0.0495712840378623	0.285496561544025	17	1019	14995	21850000	83
20220925 051931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	763381	0.295807472397116	0.278963292700468	8000	20	8293	25260000	84
20220925 052250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1176	TRUE	763381	0.00521217641113098	0.999997085929171	7956	772	6305	25070000	85
20220925 052534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	560	TRUE	763381	0.00504209863023743	0.711475708501415	4946	951	12083	24800000	86
20220925 052845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	917	TRUE	763381	0.00925457401882412	0.204429505092521	1996	215	8607	26070000	87
20220925 053219	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1004	TRUE	763381	0.00537199186377775	0.200561425272552	3932	1024	7511	25700000	88
20220925 053530	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	764	TRUE	763381	0.00639213664807145	0.999481956093946	1980	192	9713	26580000	89
20220925 053946	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1274	TRUE	763381	0.00501927526539038	0.577233537408007	7333	19	8190	25940000	90
20220925 054008	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	763381	0.27899530702693	0.200059632970584	7998	60	11210	24460000	91
20220925 054019	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	763381	0.297046010546708	0.99993401544404	6622	51	10803	25120000	92
20220925 054031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	763381	0.297598286260769	0.232833995370453	1934	16	6593	23860000	93
20220925 054454	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	959	TRUE	763381	0.00501366002683686	0.315329220051895	1635	1022	10032	26340000	94
20220925 054817	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1186	TRUE	763381	0.0051849371589261	0.9999974605306	5302	566	8109	26190000	95
20220925 054831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	763381	0.255736233969831	0.698673373560268	1692	1024	10674	25220000	96
20220925 055201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1174	TRUE	763381	0.00558937059724289	0.200542806274891	7128	993	7890	25500000	97
20220925 055220	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	763381	0.280746567575487	0.979422530364705	4434	20	8692	25100000	98
20220925 055300	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	176	TRUE	763381	0.285938348756458	0.200744547907152	8	1013	5008	16790000	99
20220925 055603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	705	TRUE	763381	0.00624164246444199	0.997476838927471	1870	79	5915	25210000	100
20220925 055614	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	763381	0.15271675429927	0.999522852089486	7999	960	10548	24910000	101
20220925 060026	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	999	TRUE	763381	0.0053062315818896	0.320992090911592	1994	57	6671	26260000	102
20220925 060036	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	20	TRUE	763381	0.299440066787439	0.797006309719468	7994	1019	5075	23770000	103
20220925 060056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	763381	0.058240054819982	0.687130404872884	8000	16	8939	25970000	104
20220925 060501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1291	TRUE	763381	0.00555514506320366	0.356264366187866	7989	18	12799	24410000	105
20220925 060623	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	308	TRUE	763381	0.00966517051928421	0.711818537025278	6063	492	11031	25460000	106
20220925 061030	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1051	TRUE	763381	0.00537602996637815	0.281474820238713	2011	713	7344	26280000	107
20220925 061040	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	763381	0.299535094105032	0.748410565837363	7582	432	8575	24690000	108
20220925 061212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	500	TRUE	763381	0.0171919945474853	0.361534040473976	7992	17	7233	25540000	109
20220925 061234	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	763381	0.0881754057202867	0.999173592199011	5913	1024	9355	25930000	110
20220925 061549	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1187	TRUE	763381	0.00500778413606493	0.999031869140357	6579	1015	13556	23930000	111
20220925 062020	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1866	TRUE	763381	0.0089735181102641	0.22178020939946	3708	1024	14997	23450000	112
20220925 062349	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1110	TRUE	763381	0.00568280444259888	0.201138885492991	5950	1024	12943	24040000	113
20220925 062424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	266	TRUE	763381	0.0755286366253318	0.998631856094691	7999	45	8016	26450000	114
20220925 062811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1811	TRUE	763381	0.00588552499107894	0.759921415009406	2053	17	12229	25230000	115
20220925 062859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	288	TRUE	763381	0.0385363949364456	0.999553984991802	7999	16	5004	23600000	116
20220925 063119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	693	TRUE	763381	0.00615059429910319	0.994817962574887	5765	1024	5879	24490000	117
20220925 063542	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	910	TRUE	763381	0.00509036360029649	0.404633167742181	1979	489	10013	26380000	118
20220925 063823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	653	TRUE	763381	0.00710802267085619	0.393611931837389	7998	495	9953	25460000	119
20220925 064410	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2619	TRUE	763381	0.00634142504163819	0.200545846010388	2030	19	13896	24530000	120
