fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221115 203145	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1124	1	1	1	0.1	50	0.5	FALSE	763369	0.073784918	0.407542683	0.202024649	10.17421703	0.006020687	16121	44878000	9
20221116 030129	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	261	1	1	1	0.1	50	0.5	FALSE	763369	0.186850313	0.764862374	0.591525399	5.227855738	0.020413796	18450	44860000	27
20221116 041821	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	803	1	1	1	0.1	50	0.5	FALSE	763369	0.217928807	0.451580929	0.624588062	3.662928335	0.021782034	17870	44820000	31
20221116 142255	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2095	1	1	1	0.1	50	0.5	FALSE	763369	0.016868946	0.593185147	0.476259148	10.9671144	0.001693742	18061	44678000	53
20221116 052937	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	1	1	1	0.1	50	0.5	FALSE	763369	0.160777404	0.201338293	0.640890526	5.421643042	0.019090375	18464	44672000	34
20221116 014312	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	330	1	1	1	0.1	50	0.5	FALSE	763369	0.185329996	0.699300823	0.711104134	4.432447896	0.021264082	17988	44664000	19
20221116 081939	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	411	1	1	1	0.1	50	0.5	FALSE	763369	0.136054289	0.229892607	0.290350013	5.287753127	0.021898735	17765	44630000	43
20221116 022414	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	370	1	1	1	0.1	50	0.5	FALSE	763369	0.191826525	0.773326513	0.995992521	3.312958834	0.021167571	18457	44526000	23
20221116 150544	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	820	1	1	1	0.1	50	0.5	FALSE	763369	0.230355004	0.475450491	0.897944732	2.531079593	0.026036444	15781	44518000	55
20221116 104228	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	705	1	1	1	0.1	50	0.5	FALSE	763369	0.034463402	0.684404517	0.896887399	11.67029432	0.000758951	16354	44492000	48
