fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221118 062821	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	60	1	1	1	0.1	50	0.5	FALSE	763369	0.0747161464573583	0.756601697739097	0.639909893533331	9.57043757243082	0.0174537459815628	8372	5896000	1
20221118 063051	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	330	1	1	1	0.1	50	0.5	FALSE	763369	0.165438765116851	0.562796059876564	0.326253175917373	10.7328157205775	1.56321053017463e-06	6289	4942000	2
20221118 063326	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	291	1	1	1	0.1	50	0.5	FALSE	763369	0.0896054132530116	0.290398374610231	0.695591846734897	4.20967053234926	0.0219339204085283	8080	5040000	3
20221118 063500	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	148	1	1	1	0.1	50	0.5	FALSE	763369	0.107204432306462	0.613934014909319	0.909475256662699	6.82862121840299	0.0168705205456757	7774	5892000	4
20221118 063732	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	228	1	1	1	0.1	50	0.5	FALSE	763369	0.121195325003355	0.434973619956872	0.511177227543521	5.2731471532752	0.0161028902306235	9574	4372000	5
20221118 064554	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1647	1	1	1	0.1	50	0.5	FALSE	763369	0.244249662177026	0.413153470985708	0.21863834427495	3.26018422696507	0.0177093666178655	9164	3912000	6
20221118 064630	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	29	1	1	1	0.1	50	0.5	FALSE	763369	0.263802372166392	0.583029655917198	0.0930028393362591	8.64609494620527	0.0168718845882781	8816	3248000	7
20221118 064754	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	41	1	1	1	0.1	50	0.5	FALSE	763369	0.185540464444784	0.379066795067047	0.136824866440293	8.34893454088888	0.0189936300616032	8381	4358000	8
20221118 064928	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	117	1	1	1	0.1	50	0.5	FALSE	763369	0.250864461987221	0.248259055116796	0.759549646876258	4.95167906588176	0.0205031466219898	7551	6418000	9
20221118 065204	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1108	1	1	1	0.1	50	0.5	FALSE	763369	0.0311806701496243	0.77525499589683	0.837287860127981	2.66555992639042	0.0225954236118727	7416	6128000	10
20221118 065311	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	115	1	1	1	0.1	50	0.5	FALSE	763369	0.212230514035327	0.710964743577642	0.950118212157395	6.17587015453319	0.0208177683719097	6575	6210000	11
20221118 065543	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	276	1	1	1	0.1	50	0.5	FALSE	763369	0.205443102602439	0.220751447576913	0.370778266948037	11.7782601734361	4.56536310856504e-07	8533	3654000	12
20221118 070418	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	890	1	1	1	0.1	50	0.5	FALSE	763369	0.0147135414845252	0.334106995034381	0.800733305305766	7.46500816069602	0.0163658106430793	7808	6624000	13
20221118 070807	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2582	1	1	1	0.1	50	0.5	FALSE	763369	0.0608881652312993	0.514441015580087	0.278182080310216	2.30536544321512	0.016528369858167	9046	4468000	14
20221118 070842	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	10	1	1	1	0.1	50	0.5	FALSE	763369	0.285145772729593	0.486461849807529	0.536984481722902	1.02756597059488	0.0341962638325803	11079	482000	15
20221118 071130	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	465	1	1	1	0.1	50	0.5	FALSE	763369	0.148842183479283	0.653557548153913	0.422183022156241	10.561170953355	3.42568007660297e-07	9425	2910000	16
20221118 071232	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	77	1	1	1	0.1	50	0.5	FALSE	763369	0.192994728416994	0.674927989048681	0.801984291235589	5.85767135381504	0.0249731773702262	6682	5196000	17
20221118 071424	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	129	1	1	1	0.1	50	0.5	FALSE	763369	0.0680766727167874	0.201067468314474	0.755183381391654	7.74524232936065	0.0183427498391245	8555	5450000	18
20221118 072346	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1683	1	1	1	0.1	50	0.5	FALSE	763369	0.0217666456702985	0.275436494802782	0.818326197093228	4.9986935680859	0.0209048146886589	7449	5902000	19
20221118 072526	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	57	1	1	1	0.1	50	0.5	FALSE	763369	0.147120416888558	0.290673066227855	0.835349297621151	7.48626493455726	0.0193049127086619	8388	4984000	20
20221118 073523	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	301	1	1	1	0.1	50	0.5	FALSE	763369	0.0100243134531138	0.729588165409497	0.787210753762398	11.2235267022677	0.0141136345291396	8274	5772000	21
20221118 074159	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	977	1	1	1	0.1	50	0.5	FALSE	763369	0.010122164377373	0.71172038678481	0.856538828323961	7.71347530283374	0.0165770388636828	8231	5938000	22
20221118 075458	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4843	1	1	1	0.1	50	0.5	FALSE	763369	0.0100303477939741	0.795036502341548	0.784291895474653	4.09835230188404	0.027531667009264	5808	7024000	23
20221118 080504	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2683	1	1	1	0.1	50	0.5	FALSE	763369	0.0100272785932619	0.677279348393271	0.766222001933255	6.17127225881014	0.0162120844277559	7566	6388000	24
20221118 080606	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	70	1	1	1	0.1	50	0.5	FALSE	763369	0.0102275066134029	0.691173132109911	0.791276028020086	1.59748980243567	0.0207302468916133	9246	1668000	25
20221118 080809	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	644	1	1	1	0.1	50	0.5	FALSE	763369	0.0712878239262626	0.792320265118059	0.853457879747905	3.73582433725594	0.0199993375170315	8230	5860000	26
20221118 081429	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1968	1	1	1	0.1	50	0.5	FALSE	763369	0.010590615702158	0.671301679844487	0.766359924365977	4.65298752209888	0.0225142217175312	7298	6044000	27
20221118 082548	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1421	1	1	1	0.1	50	0.5	FALSE	763369	0.0100484313979508	0.389263032938995	0.790035923170158	6.80605639200905	0.0189044444918873	7887	6546000	28
20221118 084459	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3384	1	1	1	0.1	50	0.5	FALSE	763369	0.0105377255786855	0.411739316742318	0.791518083877643	3.49896193317301	0.0245649375039001	6956	6008000	29
20221118 084557	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	131	1	1	1	0.1	50	0.5	FALSE	763369	0.271497365337505	0.785976911044684	0.781875387686559	4.129345852403	0.0233580405511953	6634	6492000	30
20221118 085229	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	894	1	1	1	0.1	50	0.5	FALSE	763369	0.0100011373702313	0.693748905160967	0.781432612134591	7.29325529994384	0.025205771725273	6214	7092000	31
20221118 085951	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1486	1	1	1	0.1	50	0.5	FALSE	763369	0.0102713917161722	0.772853605787968	0.709182256911616	7.16862120112953	0.0179468945541633	7058	6924000	32
20221118 090107	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	1	0.1	50	0.5	FALSE	763369	0.293647302989473	0.209656854397525	0.942552482094718	4.97840278785328	0.0261622634337631	7005	5590000	33
20221118 090656	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	725	1	1	1	0.1	50	0.5	FALSE	763369	0.020063503413288	0.45871061526488	0.996145612692975	6.2202762348642	0.0202895161857869	7790	5540000	34
20221118 091314	1532	413699	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	455	1	1	1	0.1	50	0.5	FALSE	763369	0.010432495787639	0.777695847546606	0.785869417450688	9.48761691172051	0.0154647766769202	8754	5612000	35
