fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221119 155627	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	671	1	1	1	0.1	50	0.5	FALSE	763369	0.018958857	0.799237246	0.555002245	8.381233566	0.029440753	7126	16548000	111
20221119 111609	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	557	1	1	1	0.1	50	0.5	FALSE	763369	0.01583836	0.770616053	0.639775942	8.417424477	0.029206045	7707	16186000	72
20221119 151045	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	568	1	1	1	0.1	50	0.5	FALSE	763369	0.010076446	0.353056107	0.609265536	9.871496036	0.032181125	7122	16156000	104
20221119 141859	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	481	1	1	1	0.1	50	0.5	FALSE	763369	0.046530362	0.681032906	0.398039246	11.99591954	3.47E-05	6153	16094000	98
20221119 052540	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	503	1	1	1	0.1	50	0.5	FALSE	763369	0.040910025	0.793616685	0.673965155	6.673972911	0.03756645	6554	16092000	18
20221119 115847	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	472	1	1	1	0.1	50	0.5	FALSE	763369	0.018135431	0.758476687	0.660038839	9.370185725	0.027708958	7095	15970000	77
20221119 125439	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	384	1	1	1	0.1	50	0.5	FALSE	763369	0.016166073	0.261834537	0.680330202	9.784079094	0.03200346	7298	15964000	85
20221119 112426	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	758	1	1	1	0.1	50	0.5	FALSE	763369	0.014312731	0.63408425	0.645226213	8.541219821	0.028324586	7412	15896000	73
20221119 132931	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	764	1	1	1	0.1	50	0.5	FALSE	763369	0.017420308	0.670721028	0.672146272	8.613216499	0.023888861	7332	15896000	90
20221119 161753	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	234	1	1	1	0.1	50	0.5	FALSE	763369	0.018347721	0.209989071	0.753250205	10.65784003	0.032004116	7375	15890000	116
20221119 115055	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	805	1	1	1	0.1	50	0.5	FALSE	763369	0.015435311	0.783518603	0.457193216	8.432831899	0.028934945	7337	15886000	76
20221119 134639	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	774	1	1	1	0.1	50	0.5	FALSE	763369	0.015658215	0.79246506	0.574781564	7.644080677	0.030701302	7864	15872000	93
20221119 100241	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	149	1	1	1	0.1	50	0.5	FALSE	763369	0.039572169	0.354347553	0.973634802	9.346026879	0.036274193	7009	15822000	56
20221119 154519	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	459	1	1	1	0.1	50	0.5	FALSE	763369	0.012357506	0.299998592	0.630100228	10.03925565	0.028878022	7700	15800000	109
20221119 132125	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	463	1	1	1	0.1	50	0.5	FALSE	763369	0.019479985	0.472294725	0.562353743	8.879614527	0.031596224	7128	15744000	89
20221119 135452	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	296	1	1	1	0.1	50	0.5	FALSE	763369	0.063836902	0.396096578	0.66024518	7.365640901	0.034517202	7045	15670000	95
20221119 142925	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	871	1	1	1	0.1	50	0.5	FALSE	763369	0.040272995	0.718698402	0.316926061	11.64964289	5.25E-06	7222	15556000	99
20221119 140313	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	407	1	1	1	0.1	50	0.5	FALSE	763369	0.017150696	0.363538485	0.822062193	9.308837111	0.028782535	7910	15540000	96
20221119 101848	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	932	1	1	1	0.1	50	0.5	FALSE	763369	0.010273731	0.200665049	0.811616711	9.319607473	0.026771758	7596	15528000	58
20221119 123809	1529	608685	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	280	1	1	1	0.1	50	0.5	FALSE	763369	0.057423683	0.263247259	0.897470212	7.562024586	0.030032221	7559	15522000	82
