fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220926 042145	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	897	TRUE	763381	0.00508773066315529	0.61935211787452	1725	947	8207	27190000	38
20220926 042204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	17	TRUE	763381	0.299653446644515	0.505849239649368	5277	1012	5003	22640000	39
20220926 042224	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	763381	0.173894794448175	0.552885760202655	7969	1021	8559	26010000	40
20220926 042705	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1056	TRUE	763381	0.00505772288912951	0.99897207797247	1868	1023	10444	26320000	41
20220926 043220	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1048	TRUE	763381	0.00502310387798723	0.510681823465725	2269	1022	8788	27230000	42
20220926 043716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1406	TRUE	763381	0.00500080417339789	0.621296048575591	3906	1017	10123	26240000	43
20220926 044203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	921	TRUE	763381	0.00510267336207011	0.566464186723798	2187	654	8659	27330000	44
20220926 045109	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2781	TRUE	763381	0.0051433195627925	0.998749883232112	7360	630	8521	26160000	45
20220926 045956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	953	TRUE	763381	0.00500673621749415	0.905767293484701	182	373	8314	26580000	46
20220926 050533	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	763381	0.00500342078465947	0.998861926812293	353	1024	7062	25880000	47
20220926 051202	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2088	TRUE	763381	0.00519867352924877	0.200396456667431	1720	202	14643	23760000	48
20220926 051716	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2026	TRUE	763381	0.00502731930827106	0.915010343978319	4879	17	8865	26350000	49
20220926 051737	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	75	TRUE	763381	0.249890485395795	0.99989588553925	7984	436	8495	25490000	50
20220926 053135	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	841	TRUE	763381	0.00501821399955496	0.986210782949906	62	952	14991	22900000	51
20220926 053750	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1092	TRUE	763381	0.00501088128423773	0.614358367348113	859	1021	9101	26920000	52
20220926 053817	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	763381	0.0765545725983006	0.597809545822558	2460	1019	8556	26250000	53
20220926 054359	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1455	TRUE	763381	0.0052403639875299	0.546457432752487	3513	205	8623	26920000	54
20220926 054809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	950	TRUE	763381	0.0050031701484122	0.892084750758235	2841	750	8847	26630000	55
20220926 055146	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	668	TRUE	763381	0.0050028216695822	0.792450108083083	2300	395	8841	26960000	56
20220926 055203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	763381	0.186299558661085	0.417387493896531	7840	111	8806	26230000	57
20220926 055230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	77	TRUE	763381	0.198405835451608	0.479428485070122	2322	561	8932	25500000	58
20220926 055255	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	102	TRUE	763381	0.113535934325813	0.382255402082069	7893	428	8862	26520000	59
20220926 055307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	763381	0.299558774697203	0.999705349253238	2114	19	5003	22080000	60
20220926 055330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	78	TRUE	763381	0.139594622120464	0.576037495102768	6023	224	8784	26440000	61
20220926 055746	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1093	TRUE	763381	0.00505653022699507	0.370233700528395	2015	21	8756	27450000	62
20220926 060200	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	811	TRUE	763381	0.00503758816725	0.364786599644277	2222	211	8380	27560000	63
20220926 060225	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	763381	0.124805394690126	0.912302411385067	7993	99	8155	25530000	64
20220926 060707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1043	TRUE	763381	0.00501398426168019	0.3512744739382	2033	273	8661	27400000	65
20220926 061106	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	743	TRUE	763381	0.00522452383207489	0.403058840391797	2280	132	8487	27190000	66
20220926 061550	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	948	TRUE	763381	0.0050007017965126	0.572317837487456	2491	1004	8217	27010000	67
20220926 062054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1847	TRUE	763381	0.00529514318271313	0.603462249034999	7952	310	8807	25830000	68
20220926 062616	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1296	TRUE	763381	0.005016077518264	0.38361103570656	2242	800	9020	27160000	69
20220926 063136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1465	TRUE	763381	0.0050378701068799	0.999921791377866	2280	341	8470	26740000	70
20220926 063159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	763381	0.139029490600353	0.398405761552743	6279	814	8894	26460000	71
20220926 063221	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	763381	0.132168995213468	0.999856681097518	7209	1023	8765	26310000	72
20220926 063653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1032	TRUE	763381	0.00509526820567532	0.859367403243728	1930	215	7026	26590000	73
20220926 063721	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	112	TRUE	763381	0.16173897113061	0.768363491600135	7998	741	8687	25830000	74
20220926 064350	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2304	TRUE	763381	0.00510951702105255	0.358549812486918	7988	16	7553	26340000	75
20220926 064449	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	323	TRUE	763381	0.0310272016623974	0.999863761642681	5454	1023	8829	26510000	76
20220926 064516	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	763381	0.150811714426498	0.482829739514651	7991	301	7382	26040000	77
20220926 064859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1064	TRUE	763381	0.00504241036464121	0.999832997477247	5420	248	6490	25340000	78
20220926 065406	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2039	TRUE	763381	0.00516481312471157	0.954284915504078	7997	1022	10624	25320000	79
20220926 065846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1082	TRUE	763381	0.00502665612173084	0.643456758395048	2237	913	8841	27200000	80
20220926 070309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	819	TRUE	763381	0.0052669794099551	0.5978337983715	1921	382	8826	27390000	81
20220926 070727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	805	TRUE	763381	0.00502815206625477	0.748775223651738	1844	983	8511	27060000	82
20220926 071259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1093	TRUE	763381	0.0050407992192034	0.531934667753335	1963	253	9610	27100000	83
20220926 071726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1130	TRUE	763381	0.00516687737736688	0.201247648560121	2111	1023	8805	26790000	84
20220926 071933	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	394	TRUE	763381	0.0126664186763712	0.374539549355111	2223	281	8820	27320000	85
20220926 072546	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1856	TRUE	763381	0.00519820671231822	0.250310847571767	2094	1024	11129	26550000	86
20220926 072940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1228	TRUE	763381	0.00533466010263754	0.200217674858362	7492	1024	9823	25480000	87
20220926 073010	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	763381	0.0921169996216796	0.999963081948434	5175	466	9126	26630000	88
20220926 073422	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1308	TRUE	763381	0.00505526540583959	0.999555044574499	4756	373	10098	26050000	89
20220926 073442	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	53	TRUE	763381	0.0979036437702672	0.836210964924004	2976	246	8531	26380000	90
20220926 073905	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	936	TRUE	763381	0.00543329683135995	0.590033179386914	2048	801	9212	27100000	91
20220926 074345	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	992	TRUE	763381	0.0050537036477788	0.608308298357029	1682	511	7996	27290000	92
20220926 074407	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	763381	0.29995068499684	0.64608874627339	7973	19	9010	25580000	93
20220926 075128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1076	TRUE	763381	0.00500851679673285	0.721019858940539	69	230	7696	26690000	94
20220926 075158	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	186	TRUE	763381	0.145039926878972	0.2016765593163	7995	1022	7667	25710000	95
20220926 075214	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	40	TRUE	763381	0.299054063630196	0.999991020817241	5027	1024	9590	26020000	96
20220926 075228	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	763381	0.237730745362157	0.834402445490305	5097	26	9573	26060000	97
20220926 075840	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1508	TRUE	763381	0.00509212960675408	0.466747100746841	2010	1020	11714	26020000	98
20220926 075904	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	75	TRUE	763381	0.170930178649424	0.993131677713437	4732	569	8463	26280000	99
20220926 075927	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	763381	0.176287908566531	0.374866961558273	7745	641	7803	25440000	100
20220926 075951	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	90	TRUE	763381	0.112391511108541	0.373295884090301	6294	16	8475	26170000	101
20220926 080004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	763381	0.24262417290814	0.744601530718209	5184	1024	9159	26170000	102
20220926 080320	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1084	TRUE	763381	0.0051832238141037	0.825074458958884	1333	17	8619	27330000	103
20220926 080609	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	759	TRUE	763381	0.00509098302170817	0.93111533293882	1620	17	8999	26970000	104
20220926 081022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	842	TRUE	763381	0.0051517039613257	0.200248150062265	930	1022	5059	24210000	105
20220926 081509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1705	TRUE	763381	0.00532185343807618	0.210667081991359	7998	191	8601	26480000	106
20220926 081526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	763381	0.116461625428721	0.83893466385707	5441	1024	8688	26710000	107
20220926 081939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	804	TRUE	763381	0.00507753450986034	0.848568782486324	1547	187	9022	27320000	108
20220926 082348	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1649	TRUE	763381	0.00503328953230259	0.797847153487292	1547	17	10330	26540000	109
20220926 082426	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	763381	0.176187878134735	0.200112013103668	1419	1024	12267	23950000	110
20220926 082440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	45	TRUE	763381	0.299701504556612	0.832773390419377	5293	531	9039	25690000	111
20220926 082920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1099	TRUE	763381	0.00535377570050973	0.37621180490938	2789	212	9066	26990000	112
20220926 083424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	971	TRUE	763381	0.0050884105553586	0.488162151982554	1905	481	8604	27120000	113
20220926 083914	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	756	TRUE	763381	0.00504935190830896	0.542743224575471	1732	228	8526	27030000	114
20220926 084217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1299	TRUE	763381	0.011675425208005	0.844607514068669	6271	793	9346	26270000	115
20220926 084729	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	995	TRUE	763381	0.00520803158620645	0.856277917931986	1101	416	8360	26960000	116
20220926 085227	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1418	TRUE	763381	0.00502379295509974	0.408058996921087	593	17	8545	27150000	117
20220926 085625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	489	TRUE	763381	0.0111882180946179	0.383361247679802	297	690	8409	27190000	118
20220926 090317	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1008	TRUE	763381	0.00507878764060465	0.357295255122226	427	472	9506	26670000	119
20220926 090832	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1151	TRUE	763381	0.00509391352801138	0.302541898400128	1397	1023	8586	27310000	120
