Feature	Gain	Cover	Frequency
pesos_fe_suma_menos_tarjetas	0.235963964348677	0.0403995779160066	0.0314486187149959
ctrx_quarter	0.0776433595613396	0.0203766235107001	0.018831414007929
cpayroll_trx	0.0517832745552277	0.0259469293881313	0.00684349631867095
mpayroll	0.0420992833858496	0.0427223425797258	0.0189415392360456
mcaja_ahorro	0.0375552387752817	0.0164906146259862	0.0218362595179661
mpasivos_margen	0.0350225157475595	0.0124902586112475	0.0170222138317287
mcuentas_saldo	0.0317839097173492	0.0231180868450021	0.0306620099427349
mtarjeta_visa_consumo	0.0317140224866056	0.0167954078443116	0.0183122522182367
mrentabilidad_annual	0.0269369477320788	0.0280189352424278	0.0269806808885533
mprestamos_personales	0.0220887037061651	0.0268933631208555	0.0111855767415518
ctarjeta_visa_transacciones	0.0203731319688721	0.0144095506344255	0.0155748536907684
mcomisiones_mantenimiento	0.0175422514518983	0.0209706801078843	0.0127587942860739
Visa_mpagominimo	0.0139814306180996	0.0184588835980945	0.0227959222201246
mactivos_margen	0.0134288844431445	0.0147306678388246	0.0200899880435467
mcuenta_corriente	0.0126847093484434	0.0114468485358344	0.0168491599018312
Visa_status	0.0126593122171207	0.0268624026322687	0.00560065445849852
Visa_msaldopesos	0.0125927098723319	0.0135264621025232	0.0185167704990246
mrentabilidad	0.0120252683339961	0.0153288561194179	0.019759612359197
mautoservicio	0.0107964537088601	0.0177716155245017	0.0228588509219055
cociente_fe_01	0.0107130973960169	0.0215472792041596	0.0242118180101945
Visa_msaldototal	0.0105675588374784	0.0136244740173786	0.0158108363224467
cprestamos_personales	0.0104542207330321	0.0128201232812606	0.00684349631867095
Master_status	0.0100433941793893	0.013772937011905	0.0034453464225033
cdescubierto_preacordado	0.00989163201816886	0.0161687762641025	0.00511295701969668
cociente_fe_03	0.00847485505241128	0.0132669183971672	0.023393744887043
Visa_fechaalta	0.00837007444417356	0.0202707568433452	0.0186426279025864
cociente_fe_02	0.00828063999434705	0.008963885848658	0.0169120886036121
Master_fechaalta	0.00787470468402624	0.0170045179374789	0.0225756717638915
ccomisiones_mantenimiento	0.00777091354166176	0.0162405513966634	0.00569504751116984
cliente_edad	0.00736022832672497	0.0133791064216086	0.0216946699389592
cproductos	0.00705585414800814	0.0112529039603592	0.0113743628468945
ccajas_consultas	0.006570354737717	0.0145643368575545	0.0038229186331886
ccomisiones_otras	0.00626561335338572	0.0132730956475246	0.0139544396199106
ctarjeta_master	0.00606910416446114	0.00155683240730318	0.00113271663205588
ccaja_seguridad	0.0060280835863	0.0199592835607069	0.00437354477377132
Master_Fvencimiento	0.00602483143743939	0.00879268143981854	0.0161726763576867
ctarjeta_debito_transacciones	0.00586133042997155	0.0119000448601753	0.0165345163929268
mcomisiones_otras	0.00561638453229626	0.00972806199926144	0.0143792083569316
mcomisiones	0.00527925227968473	0.0081705770567256	0.0126329368825121
ctarjeta_visa	0.00516863536467507	0.00426936522400029	0.00223396891322132
chomebanking_transacciones	0.00483941099430017	0.0056168966435078	0.0130734377949783
Visa_Fvencimiento	0.0046310056445374	0.0064036289283439	0.0129947769177522
numero_de_cliente	0.0046149288497599	0.00792337100844066	0.0157951041470014
Visa_mconsumospesos	0.00432264616710127	0.0093540769642437	0.0151815493046378
cliente_antiguedad	0.00431638322932605	0.00746417772311354	0.0140016361462463
Master_mfinanciacion_limite	0.00431355774109408	0.00632804276544235	0.0137499213391228
Visa_cconsumos	0.00389475758336688	0.00680068788367758	0.0117047385312441
mtransferencias_recibidas	0.00388242926630597	0.00726957437401913	0.0134982065319992
Visa_mpagospesos	0.0038821305595202	0.00748310623556998	0.0146309231640551
mcuenta_debitos_automaticos	0.00377459078464217	0.0110627959926095	0.00912466175822793
thomebanking	0.00363033787663535	0.00284633061213228	0.00416902649298345
ccallcenter_transacciones	0.00335833372617477	0.0179225264619085	0.00493990308979926
visa_fe_suma_all	0.00313854488749483	0.00624977721551949	0.0115002202504562
internet	0.00304125931948377	0.0149785944207555	0.00391731168585992
Visa_mfinanciacion_limite	0.00284273272388987	0.00469044633440482	0.00995846705682462
Visa_mconsumototal	0.00279450616903688	0.00524743443873557	0.009486501793468
ctransferencias_recibidas	0.00271978143363826	0.00801658498020391	0.0107608080045309
mtransferencias_emitidas	0.00269505799895084	0.00890031294672716	0.012050846391039
mextraccion_autoservicio	0.00264462978961411	0.011365242953755	0.014410672707822
Master_mlimitecompra	0.00255960877187106	0.00418198476749576	0.00873135737209741
cmobile_app_trx	0.00236926888731211	0.00393082732517288	0.00438927694921654
cextraccion_autoservicio	0.00227157334319684	0.0126056544140507	0.0124284186017242
tmobile_app	0.00226147728163955	0.0159262246760192	0.0026744698256875
mcaja_ahorro_dolares	0.00225693037374537	0.00390819445878572	0.0090302687055566
mttarjeta_visa_debitos_automaticos	0.00220690437010144	0.00358593188661693	0.00740985463469889
Visa_mlimitecompra	0.00211957808376499	0.0035733889866285	0.00668617456421874
master_fe_suma_all	0.00174404728819781	0.00397877244496852	0.00431061607199044
tcallcenter	0.00164529349088088	0.00483211323062852	0.00232836196589264
ccajas_transacciones	0.00162783117287034	0.00276192274681669	0.00140016361462463
ccaja_ahorro	0.00160027673182804	0.00779760887871478	0.00294191680825625
Visa_mconsumosdolares	0.00156402878077093	0.00792442342425089	0.00600969102007426
Master_msaldopesos	0.00155077967898455	0.00353817454225631	0.00457806305455919
ccuenta_debitos_automaticos	0.00153495895100284	0.00289948728004805	0.00432634824743566
mtarjeta_master_consumo	0.00145401759911128	0.00287939343698491	0.00254861242212573
ctransferencias_emitidas	0.00143051131836031	0.00373224950001032	0.00629287017808823
Master_mconsumospesos	0.00141514366987169	0.00283715768855574	0.00383865080863382
mpagomiscuentas	0.00140420838345541	0.0034478564295275	0.00630860235353345
Master_mpagominimo	0.00139829825723098	0.00228757142986126	0.00383865080863382
Master_msaldototal	0.00136738929977607	0.00503316395221773	0.00445220565099742
Master_mpagospesos	0.0013356277291689	0.00787551073070204	0.00460952740544963
ctarjeta_visa_debitos_automaticos	0.00124857728689413	0.00237441850431615	0.00379145428229816
ctarjeta_debito	0.00124175804682314	0.00190322256327544	0.00331948901894154
Master_mconsumototal	0.0011804147673101	0.00227739911676012	0.00245421936945441
ctarjeta_master_transacciones	0.000943609268020974	0.000986265206978789	0.00103832357938456
matm	0.000888889119443592	0.00516277204724892	0.00769303379271286
Master_cconsumos	0.000881884427061658	0.00123170953490327	0.00193505757976213
cpagomiscuentas	0.00084465713436592	0.00197874571847289	0.00353973947517463
tarjetas_fe_suma_all	0.000814500180653224	0.00203533162747273	0.00254861242212573
matm_other	0.000707002239342752	0.00377624197809071	0.00361840035240073
Visa_msaldodolares	0.000670864279458119	0.00510836520666943	0.00300484551003713
pesos_fe_suma_all	0.00066133440710651	0.00197502826393041	0.00278459505380404
catm_trx	0.000640351044917639	0.00452587956884981	0.00629287017808823
Master_fultimo_cierre	0.000567912551187626	0.00109990989467864	0.00220250456233088
Visa_fultimo_cierre	0.000450525303512282	0.00107468685019777	0.00165187842174816
Visa_mpagosdolares	0.000305541783963318	0.000995998337667119	0.00127430621106287
Visa_mpagado	0.000274225751854707	0.00291430531960964	0.000896734000377572
tcuentas	0.000246300288137672	0.00304060894128767	0.000597822666918381
Visa_madelantopesos	0.000243897541216354	0.0016197795990635	0.000818073123151469
cseguro_vida	0.000213794018752983	0.00158344037359716	0.000503429614247058
catm_trx_other	0.00018110051630837	0.0013820197156858	0.00141589579006985
Master_cadelantosefectivo	0.00017360908819062	9.07173694677301e-05	0.000141589579006985
active_quarter	0.000172518184346098	0.000243156087739585	0.000314643508904411
Master_mconsumosdolares	0.000171369459904285	0.000188432960962231	0.00056635831602794
Visa_cadelantosefectivo	0.000162888400874051	0.00150177802220026	0.000613554842363602
Master_madelantopesos	0.000156558013734845	0.000136336818759198	0.000251714807123529
mplazo_fijo_dolares	0.000135374673077811	0.00141521042746261	0.000613554842363602
Master_msaldodolares	0.000122900117389322	0.000490318467318708	0.000361840035240073
Master_mpagado	0.000112241013958624	0.000502952447750707	0.000361840035240073
Visa_delinquency	9.55003792560391e-05	0.000850999519189458	0.000582090491473161
mttarjeta_master_debitos_automaticos	7.8447667333036e-05	0.00035640713324841	0.00026744698256875
cseguro_vivienda	7.06422821755809e-05	0.000256160004493734	0.000298911333459191
Master_mpagosdolares	6.91436649641278e-05	0.000110818698594724	0.000330375684349632
ctarjeta_visa_descuentos	6.00908496703654e-05	0.00025261036254933	0.000125857403561765
ccajas_extracciones	4.42496829591489e-05	0.000398216176037871	9.43930526713234e-05
ctarjeta_master_debitos_automaticos	3.98267258073525e-05	0.00015228587780149	0.000110125228116544
cseguro_accidentes_personales	3.76080443860843e-05	0.00013970929052571	0.000157321754452206
ccajas_depositos	3.66272682200239e-05	0.000504812110779928	0.000110125228116544
Visa_madelantodolares	3.19898262538756e-05	0.000251911039417577	0.00026744698256875
mcaja_ahorro_adicional	3.16748102070192e-05	0.000262909314897339	7.86608772261028e-05
Master_madelantodolares	2.57865694769138e-05	7.0666571271755e-05	9.43930526713234e-05
ccheques_depositados	2.27804674522376e-05	0.000380129845765082	6.29287017808823e-05
mcheques_depositados	2.24615802601908e-05	0.000394903592782197	6.29287017808823e-05
mtarjeta_visa_descuentos	2.07066359625264e-05	0.000165788865479281	0.000110125228116544
cplazo_fijo	9.78845780659912e-06	2.91407512314611e-05	3.14643508904411e-05
ccajas_otras	4.67673525298584e-06	7.91489054577067e-05	1.57321754452206e-05
ccajeros_propios_descuentos	4.67508799485777e-06	0.000388159273087828	0.00028317915801397
Master_delinquency	4.31835401057518e-06	8.92837882395683e-05	6.29287017808823e-05
mcajeros_propios_descuentos	2.43889930815626e-06	0.000455752815147257	0.000314643508904411
ctarjeta_master_descuentos	7.5286520560904e-07	1.88361843355612e-05	1.57321754452206e-05
cforex_sell	3.00809946396666e-07	3.04813805000946e-05	1.57321754452206e-05
