fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221116 021512	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	0.1	50	0.5	FALSE	763369	0.192552552233982	0.790878245615077	0.327273266549992	4.51176698387073	0.0212340565832394	17905	44350000	22
20221116 022414	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	370	1	1	1	0.1	50	0.5	FALSE	763369	0.191826524962274	0.773326513499997	0.995992521190516	3.31295883433493	0.0211675706049507	18457	44526000	23
20221116 023137	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	140	1	1	1	0.1	50	0.5	FALSE	763369	0.194360886244708	0.771914397382084	0.834246192851748	5.272362108628	0.0212569837555592	17388	45704000	24
20221116 024158	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	332	1	1	1	0.1	50	0.5	FALSE	763369	0.19731448618422	0.751520063480274	0.998712564316497	4.66914391006589	0.020473118762852	18575	45010000	25
20221116 025233	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	344	1	1	1	0.1	50	0.5	FALSE	763369	0.165009101324806	0.731701320088762	0.873731290782508	4.63623377829455	0.025093474692528	15979	46762000	26
20221116 030129	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	261	1	1	1	0.1	50	0.5	FALSE	763369	0.186850313155083	0.764862374203907	0.591525398898298	5.22785573835383	0.0204137958305554	18450	44860000	27
20221116 032517	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	508	1	1	1	0.1	50	0.5	FALSE	763369	0.0845585980537387	0.476715667396092	0.68152637039544	5.42546668560103	0.0222441993738844	17641	45118000	28
20221116 033817	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	185	1	1	1	0.1	50	0.5	FALSE	763369	0.176081835526462	0.461813065211124	0.666655621445357	5.94528325806856	0.0228947015739851	16990	46260000	29
20221116 035022	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	443	1	1	1	0.1	50	0.5	FALSE	763369	0.225202493974522	0.799708340940776	0.894397744394527	4.57727255727389	0.0198269994901106	18617	43726000	30
20221116 041821	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	803	1	1	1	0.1	50	0.5	FALSE	763369	0.217928806880815	0.451580929214321	0.624588062184979	3.66292833534977	0.0217820336283616	17870	44820000	31
