fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 232728	-0.095685169	2435.009437	140.3112586	17	5	22426666.67	108
20220911 230155	-0.977445429	1979.89635	801.5383915	3	5	22400000	14
20220911 232254	-0.197351314	3100.725074	126.3938874	3	5	22400000	92
20220911 231426	-0.413736906	4988.849333	187.6331824	4	5	22373333.33	62
20220911 230637	-0.464640268	1544.273974	2.111460827	5	5	22360000	35
20220911 231915	-0.968038025	2402.055029	553.9288369	11	5	22360000	79
20220911 230652	-0.614308226	4999.962106	773.7147167	10	5	22346666.67	36
20220911 232033	-0.648992079	4212.185005	200.1131862	3	5	22346666.67	84
20220911 230739	-0.481809423	127.676086	63.21679329	6	5	22306666.67	39
20220911 231224	-0.999968272	4966.846341	546.1733236	20	5	22293333.33	55
20220911 230935	-0.3165126	4988.746591	998.8435577	3	5	22266666.67	46
20220911 230538	-0.734752062	4903.404656	814.5915035	4	5	22253333.33	31
20220911 231205	-0.135423356	720.3257625	140.0715778	13	5	22240000	54
20220911 230925	-0.434582349	646.2210984	201.0608815	15	5	22186666.67	45
20220911 232326	-0.65351717	679.1130116	181.3493863	9	5	22173333.33	94
20220911 232740	-0.449496194	3549.918424	421.4251383	5	5	22173333.33	109
20220911 232804	-0.284516914	4994.024472	152.0593887	4	5	22120000	111
20220911 230614	-0.29554146	994.4843496	244.399661	11	5	22080000	33
20220911 230904	-0.920742833	4997.676664	999.620598	13	5	22080000	44
20220911 230950	-0.999998716	4282.371346	1.316819021	9	5	22066666.67	47
20220911 231011	-0.701843942	4998.734459	114.7560673	17	5	22066666.67	48
20220911 231110	-0.999782706	519.2392265	253.2845128	15	5	22053333.33	51
20220911 232245	-0.108393262	4161.356579	2.177555926	12	5	21973333.33	91
20220911 230006	-0.783346354	1324.203891	51.18543235	13	5	21906666.67	6
20220911 232445	-0.50377447	4972.938138	146.3355553	10	5	21893333.33	99
20220911 231514	-0.914837832	4999.742837	325.0530276	3	5	21800000	65
20220911 231944	-0.936020162	11.27317055	1.969419673	3	5	21800000	81
20220911 230207	-0.265227511	155.6257306	37.52451813	7	5	21680000	15
20220911 231632	-0.012495001	4236.397803	1.161386264	20	5	21520000	70
20220911 232012	-0.999998748	2382.524139	1.298261278	20	5	21240000	82
20220911 230808	0.048332222	2241.663708	917.1715736	5	5	-1100000	41
