fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion				
20220925 042643	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	93	TRUE	763381	0.299824089	0.997411325	7997	606	8811	26140000	63				
20220925 050249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	872	TRUE	763381	0.005206692	0.864851167	3976	18	7980	26120000	77				
20220925 041615	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	980	TRUE	763381	0.005690054	0.999624665	7514	827	8235	26090000	59				
20220925 032212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1069	TRUE	763381	0.005195002	0.349179024	1951	28	10567	26070000	43				
20220925 043931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	712	TRUE	763381	0.005383756	0.761688853	3577	1024	8168	26070000	69				
20220925 052845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	917	TRUE	763381	0.009254574	0.204429505	1996	215	8607	26070000	87				
20220925 042220	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	3173	TRUE	763381	0.00528075	0.998641798	6830	44	9014	26060000	60				
20220925 023809	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	975	TRUE	763381	0.008377092	0.242475124	6052	941	8741	26040000	33				
20220925 042658	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	763381	0.14642043	0.999906351	7419	372	9132	25980000	64				
20220925 060056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	89	TRUE	763381	0.058240055	0.687130405	8000	16	8939	25970000	104				
20220925 015008	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	859	TRUE	763381	0.005195201	0.629926775	2413	1024	10028	25950000	22				
20220925 041101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1447	TRUE	763381	0.005058613	0.485738615	5316	631	9745	25950000	57				
20220925 053946	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1274	TRUE	763381	0.005019275	0.577233537	7333	19	8190	25940000	90				
