Feature	Gain	Cover	Frequency
pesos_fe_suma_menos_tarjetas	0.623376422496164	0.142789999866186	0.107913669064748
cpayroll_trx	0.0711312633333065	0.105648669773768	0.0647482014388489
ranked_mcaja_ahorro	0.0667901712555418	0.0187807525524963	0.0143884892086331
ctrx_quarter	0.0466190238350832	0.0547456240952817	0.0431654676258993
Visa_msaldototal	0.0273937656387604	0.00865152787693548	0.0215827338129496
ranked_mtarjeta_visa_consumo	0.0232246085626458	0.063138970248492	0.0575539568345324
mrentabilidad_annual	0.0202473569183806	0.0700707559608099	0.0863309352517986
mcomisiones_mantenimiento	0.0178636674175971	0.0791351384538851	0.079136690647482
ctarjeta_visa_transacciones	0.0123921871770585	0.00575162760749766	0.0143884892086331
ctarjeta_master	0.0123233897287581	0.0367557892135139	0.0503597122302158
mpayroll	0.0120969825285983	0.0476265779193229	0.0359712230215827
mprestamos_personales	0.0107213633590114	0.0770076580792382	0.0647482014388489
ctarjeta_visa	0.0088024729593344	0.0457598768284264	0.0359712230215827
ranked_mcuenta_corriente	0.00830278697275087	0.00493441948075562	0.0215827338129496
mrentabilidad	0.00647817156265342	0.00661236454314823	0.0143884892086331
cdescubierto_preacordado	0.00569585413767591	0.0558354973107382	0.0359712230215827
cproductos	0.00566509553324557	0.0224056869247487	0.0359712230215827
Visa_mpagominimo	0.00536150279853039	0.0283957390569913	0.0575539568345324
mactivos_margen	0.00388364666309162	0.0426658679825538	0.0359712230215827
cociente_fe_01	0.00235081881732777	0.0321969926552022	0.0287769784172662
cociente_fe_03	0.0020986616039505	0.00224334729456252	0.00719424460431655
Master_Fvencimiento	0.00168124254281996	0.00353520048046989	0.00719424460431655
ranked_mpasivos_margen	0.00142651861367646	0.00841137164550705	0.0215827338129496
master_fe_suma_all	0.00111987231153998	0.00483122550520575	0.00719424460431655
ranked_mcuentas_saldo	0.000777019396308402	0.00151973004267083	0.00719424460431655
mtarjeta_master_consumo	0.000593807037044795	0.011454924855737	0.0143884892086331
Master_cconsumos	0.000443427726991317	0.0015475947774875	0.00719424460431655
ccomisiones_mantenimiento	0.000440409761566378	0.00325781255534574	0.00719424460431655
cprestamos_personales	0.00040360220483718	0.0121464268200434	0.00719424460431655
ranked_ccomisiones_otras	0.000294887105749355	0.00214282959297809	0.00719424460431655
