fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	bagging_freq	lambda_l1	lambda_l2	min_gain_to_split	max_depth 	ganancia	iteracion
20220929 040343	binary	custom	TRUE	TRUE	FALSE	-100	31	620	TRUE	763381	0.035160548	0.302125445	7073	182	8960	0.784338243	20	0.139367421	28.87571216	0.048486568	28	26160000	140
20220929 024618	binary	custom	TRUE	TRUE	FALSE	-100	31	396	TRUE	763381	0.031426495	0.587168534	6708	229	8533	0.909179174	412	5.17956612	32.38913771	0.155355062	10	26140000	53
20220929 040529	binary	custom	TRUE	TRUE	FALSE	-100	31	64	TRUE	763381	0.192442113	0.775539565	2731	373	9052	0.950355981	695	0.339633428	60.26359405	0.000560008	4	26140000	143
20220929 025229	binary	custom	TRUE	TRUE	FALSE	-100	31	1021	TRUE	763381	0.027717844	0.890007666	7330	878	9179	0.816261146	668	1.121519756	57.4964883	0.410457153	22	26130000	58
20220929 030820	binary	custom	TRUE	TRUE	FALSE	-100	31	1200	TRUE	763381	0.009079758	0.453064467	1003	316	11460	0.919588727	129	1.105181395	43.47981287	0.596947845	25	26120000	68
20220929 034226	binary	custom	TRUE	TRUE	FALSE	-100	31	237	TRUE	763381	0.043033201	0.628588131	5951	976	9590	0.84229772	989	3.809916387	72.4643542	0.194431887	18	26100000	107
20220929 033047	binary	custom	TRUE	TRUE	FALSE	-100	31	407	TRUE	763381	0.027244412	0.245258923	467	950	8807	0.807398701	367	0.038238383	82.6575557	4.30352472	9	26070000	94
20220929 030141	binary	custom	TRUE	TRUE	FALSE	-100	31	560	TRUE	763381	0.028640047	0.817194702	6075	442	9893	0.958897254	379	0.055459474	56.79060229	1.476773043	1	26060000	65
20220929 035406	binary	custom	TRUE	TRUE	FALSE	-100	31	103	TRUE	763381	0.08554134	0.23329836	1410	385	8145	0.657101193	53	0.298278014	6.404063876	0.017165929	8	26030000	122
20220929 031914	binary	custom	TRUE	TRUE	FALSE	-100	31	106	TRUE	763381	0.067233442	0.442303053	2702	857	9437	0.77345132	413	1.162331385	47.4170885	0.169366571	27	26010000	77
20220929 031553	binary	custom	TRUE	TRUE	FALSE	-100	31	97	TRUE	763381	0.194834497	0.624002687	3125	978	10378	0.806561838	472	2.221120855	50.82399939	0.014662591	6	25970000	73
20220929 035626	binary	custom	TRUE	TRUE	FALSE	-100	31	652	TRUE	763381	0.016993399	0.632298846	5445	272	9459	0.639655661	8	0.636674639	59.90529667	0.103250617	5	25970000	125
20220929 035807	binary	custom	TRUE	TRUE	FALSE	-100	31	68	TRUE	763381	0.274538788	0.817603753	1807	344	8540	0.839188802	896	0.106547145	48.62095872	0.02402983	14	25960000	131
20220929 033108	binary	custom	TRUE	TRUE	FALSE	-100	31	119	TRUE	763381	0.076896298	0.854333436	7970	635	9237	0.908961938	921	0.161563932	19.38404063	1.762883548	15	25930000	95
20220929 025710	binary	custom	TRUE	TRUE	FALSE	-100	31	2066	TRUE	763381	0.006190711	0.769384008	7001	711	9774	0.890794645	295	1.880359965	85.83399622	0.16932271	29	25900000	60
20220929 035437	binary	custom	TRUE	TRUE	FALSE	-100	31	171	TRUE	763381	0.06555133	0.964391452	3399	72	9054	0.599892355	59	0.481455447	11.63505096	0.013444927	11	25900000	123
20220929 030008	binary	custom	TRUE	TRUE	FALSE	-100	31	147	TRUE	763381	0.075322862	0.951169912	3004	514	9185	0.813062635	362	0.357634888	66.59431827	1.26044243	27	25870000	63
20220929 034609	binary	custom	TRUE	TRUE	FALSE	-100	31	56	TRUE	763381	0.16212196	0.314314332	578	856	9748	0.695788377	54	0.486523659	87.92612351	0.370466041	19	25870000	112
20220929 024153	binary	custom	TRUE	TRUE	FALSE	-100	31	98	TRUE	763381	0.095372936	0.817095151	4101	331	6877	0.89427027	214	0.531791378	93.50856556	0.165443608	11	25850000	50
20220929 032232	binary	custom	TRUE	TRUE	FALSE	-100	31	94	TRUE	763381	0.155294808	0.807614543	5626	941	8325	0.623460302	821	1.698729898	55.79071385	0.006816559	14	25750000	83
20220929 031221	binary	custom	TRUE	TRUE	FALSE	-100	31	1073	TRUE	763381	0.010040105	0.328235825	2089	543	11741	0.84314615	319	0.202011385	20.83339618	0.207930286	29	25720000	71
20220929 034713	binary	custom	TRUE	TRUE	FALSE	-100	31	155	TRUE	763381	0.075552014	0.422692835	750	841	9869	0.562434317	104	5.993225356	13.01707165	0.80722853	7	25710000	115
20220929 030231	binary	custom	TRUE	TRUE	FALSE	-100	31	312	TRUE	763381	0.040662994	0.848982994	7126	622	9719	0.847640476	285	0.156187185	57.65272154	0.562280463	1	25690000	66
20220929 034455	binary	custom	TRUE	TRUE	FALSE	-100	31	547	TRUE	763381	0.026907852	0.581404293	5009	161	11562	0.937861176	988	2.216154716	50.18347985	0.653551069	17	25680000	110
20220929 030833	binary	custom	TRUE	TRUE	FALSE	-100	31	77	TRUE	763381	0.206697285	0.816231802	5792	722	8766	0.83937712	400	1.046574049	63.06158371	1.858035485	29	25670000	69
20220929 031829	binary	custom	TRUE	TRUE	FALSE	-100	31	650	TRUE	763381	0.014701701	0.507064043	5831	784	7874	0.817134624	288	0.632087032	73.10749607	0.107046854	17	25620000	75
20220929 035046	binary	custom	TRUE	TRUE	FALSE	-100	31	140	TRUE	763381	0.19535302	0.807262424	7247	204	8823	0.7261319	66	1.177047024	61.33405015	0.058992478	13	25560000	118
20220929 025249	binary	custom	TRUE	TRUE	FALSE	-100	31	108	TRUE	763381	0.089173952	0.869150586	7110	842	9065	0.747689423	319	1.25159148	28.96369457	0.282439176	19	25550000	59
20220929 033212	binary	custom	TRUE	TRUE	FALSE	-100	31	40	TRUE	763381	0.231510872	0.330464111	1911	387	9597	0.816657356	14	1.267831752	87.86736285	0.507660529	16	25530000	98
20220929 023801	binary	custom	TRUE	TRUE	FALSE	-100	31	127	TRUE	763381	0.051619439	0.616555835	246	436	8047	0.964588088	761	8.692519298	68.33851355	2.461424991	11	25510000	36
20220929 023859	binary	custom	TRUE	TRUE	FALSE	-100	31	73	TRUE	763381	0.167068428	0.273028646	2788	248	8464	0.907222656	58	12.90155073	21.62095002	1.968805088	30	25480000	40
20220929 034631	binary	custom	TRUE	TRUE	FALSE	-100	31	103	TRUE	763381	0.122859567	0.27740307	7717	331	9008	0.82776012	853	0.55636851	10.94044384	0.056754106	21	25430000	113
20220929 024747	binary	custom	TRUE	TRUE	FALSE	-100	31	318	TRUE	763381	0.115754034	0.316687561	5026	517	12382	0.909136145	13	1.236081525	52.88167463	0.030102431	16	25400000	56
20220929 032834	binary	custom	TRUE	TRUE	FALSE	-100	31	85	TRUE	763381	0.140838772	0.65317118	5264	825	9288	0.529064308	28	3.304973937	58.86195896	0.045054049	17	25350000	90
20220929 035023	binary	custom	TRUE	TRUE	FALSE	-100	31	99	TRUE	763381	0.078622342	0.626474319	818	486	9171	0.852703071	72	0.024470295	64.75549937	7.118219218	19	25340000	117
20220929 032329	binary	custom	TRUE	TRUE	FALSE	-100	31	88	TRUE	763381	0.115662534	0.74803584	4280	733	9507	0.683163814	460	2.241074242	74.68272964	0.100153066	4	25310000	86
20220929 040202	binary	custom	TRUE	TRUE	FALSE	-100	31	56	TRUE	763381	0.241691394	0.925680179	5583	219	7748	0.597477178	782	1.503154975	23.69193274	1.255414212	26	25230000	138
20220929 040133	binary	custom	TRUE	TRUE	FALSE	-100	31	44	TRUE	763381	0.235035994	0.848789014	1276	830	9001	0.710049825	816	5.282145363	30.91991408	0.150717481	23	25200000	136
20220929 024132	binary	custom	TRUE	TRUE	FALSE	-100	31	57	TRUE	763381	0.185428725	0.393754006	1873	185	9815	0.96883965	79	14.37799658	40.0388455	0.996035577	14	25170000	49
20220929 032927	binary	custom	TRUE	TRUE	FALSE	-100	31	316	TRUE	763381	0.035842931	0.26221386	4673	999	9199	0.606666441	87	9.422342259	93.72154897	0.665328005	3	25130000	92
20220929 032149	binary	custom	TRUE	TRUE	FALSE	-100	31	144	TRUE	763381	0.128164418	0.966442945	4399	1001	9010	0.774992014	834	30.57541237	98.77086908	0.007982351	18	25100000	80
20220929 035746	binary	custom	TRUE	TRUE	FALSE	-100	31	65	TRUE	763381	0.159881171	0.318297412	6028	270	6588	0.566133758	66	0.230667742	14.19391294	0.013188824	1	25070000	130
20220929 040058	binary	custom	TRUE	TRUE	FALSE	-100	31	1046	TRUE	763381	0.008896718	0.688726333	5417	915	6358	0.584815454	148	0.2953577	7.118650372	0.461248045	7	25050000	134
20220929 034646	binary	custom	TRUE	TRUE	FALSE	-100	31	68	TRUE	763381	0.131035893	0.334756157	1329	988	9709	0.63614497	686	3.230256392	72.48220492	5.22398501	11	24990000	114
20220929 040218	binary	custom	TRUE	TRUE	FALSE	-100	31	66	TRUE	763381	0.16963293	0.249779857	2064	867	10040	0.801708953	836	0.154438461	95.71274477	5.118267298	20	24960000	139
20220929 040151	binary	custom	TRUE	TRUE	FALSE	-100	31	38	TRUE	763381	0.231821383	0.291535259	85	446	8369	0.748762802	723	2.345729899	46.72471028	0.072871181	8	24950000	137
20220929 024631	binary	custom	TRUE	TRUE	FALSE	-100	31	64	TRUE	763381	0.173618985	0.970161313	3592	355	10857	0.916859483	213	8.390330096	8.072612206	0.715824563	9	24930000	54
20220929 035821	binary	custom	TRUE	TRUE	FALSE	-100	31	69	TRUE	763381	0.091787646	0.786237576	162	830	8617	0.53495128	795	1.913252348	26.56057766	3.578782812	20	24930000	132
20220929 040546	binary	custom	TRUE	TRUE	FALSE	-100	31	43	TRUE	763381	0.234279165	0.75453756	238	178	8261	0.613995684	783	0.282545685	64.20962463	0.086266277	9	24920000	144
20220929 032303	binary	custom	TRUE	TRUE	FALSE	-100	31	93	TRUE	763381	0.083742891	0.562791692	7054	570	9841	0.59242977	561	6.781366957	38.56209992	0.036592735	3	24880000	84
20220929 032312	binary	custom	TRUE	TRUE	FALSE	-100	31	34	TRUE	763381	0.238518944	0.741826158	3183	910	10176	0.575538528	549	9.04096956	33.51112946	1.784737044	5	24770000	85
20220929 033125	binary	custom	TRUE	TRUE	FALSE	-100	31	73	TRUE	763381	0.1678778	0.44517958	6191	949	9678	0.616642626	2	5.271744994	35.34694165	3.285405631	15	24730000	96
