Feature	Gain	Cover	Frequency
pesos_fe_suma_menos_tarjetas	0.691073082324147	0.215711833353788	0.152380952380952
ctrx_quarter	0.0790992030042241	0.0832278238394771	0.0666666666666667
cpayroll_trx	0.0786086593393898	0.166849868798037	0.114285714285714
mtarjeta_visa_consumo	0.0258263348222478	0.0180393627973262	0.0380952380952381
mcuentas_saldo	0.015671963418619	0.00911882824673983	0.0285714285714286
Visa_mpagominimo	0.0154460915087227	0.05857851341882	0.0857142857142857
mrentabilidad_annual	0.0132359809642652	0.0423244248930681	0.0761904761904762
mcomisiones_mantenimiento	0.0111967434770069	0.0828332872172974	0.0666666666666667
cproductos	0.00847513423476023	0.0265338104160823	0.0285714285714286
Master_status	0.00842260838521075	0.0523356536482727	0.0380952380952381
ccomisiones_mantenimiento	0.00680912886157505	0.0221612530016176	0.0380952380952381
ctarjeta_master	0.00672335059425194	0.0257030907629843	0.0190476190476191
Visa_fechaalta	0.00515562563594594	0.00735043339082851	0.0190476190476191
ctarjeta_master_transacciones	0.00413445841585717	0.00679814522039627	0.00952380952380953
mprestamos_personales	0.00408914293948474	0.0191958393975658	0.0190476190476191
ccomisiones_otras	0.00365486744260634	0.0331353972073559	0.0285714285714286
Visa_msaldopesos	0.00322967603819896	0.0257594080657105	0.0285714285714286
cociente_fe_02	0.00276904616565166	0.00222114179939619	0.00952380952380953
mpasivos_margen	0.00253504265061579	0.0147742212515945	0.00952380952380953
Master_fechaalta	0.00236439893302511	0.00627803836580754	0.0190476190476191
mcaja_ahorro	0.00233330233428518	0.00270875183504489	0.00952380952380953
cociente_fe_01	0.00157444735592317	0.0197915092437675	0.0190476190476191
mpayroll	0.00153981898954529	0.0147742212515945	0.00952380952380953
ctarjeta_visa_transacciones	0.00130389010816714	0.0121449761968689	0.0190476190476191
Master_mconsumototal	0.00126211655074905	0.00384535174020465	0.00952380952380953
ctarjeta_visa	0.00117238372236493	0.0147742212515945	0.00952380952380953
mcuenta_corriente	0.00103568155445625	0.00164724166685334	0.00952380952380953
Visa_cadelantosefectivo	0.000749079884003278	0.00981277730750288	0.00952380952380953
Visa_status	0.000508740344699579	0.00157057441440259	0.00952380952380953
