fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	bagging_freq	lambda_l1	lambda_l2	min_gain_to_split	max_depth 	ganancia	iteracion
20220927 022841	binary	custom	TRUE	TRUE	FALSE	-100	31	92	TRUE	763381	0.0638103243022722	0.772182120968187	2115	250	9207	0.687662927384549	102	0.378481971951977	10.8283707881074	1.7848547021673	3	25830000	92
20220927 022921	binary	custom	TRUE	TRUE	FALSE	-100	31	129	TRUE	763381	0.0422256720078937	0.733678795633598	685	424	11035	0.640822644501261	187	0.51637754166999	56.0306438418964	0.0976290455252048	3	25290000	93
20220927 022929	binary	custom	TRUE	TRUE	FALSE	-100	31	21	TRUE	763381	0.0792788484806017	0.818712331463531	664	932	14834	0.209989095574289	273	58.2044743359136	40.4192300348581	6.48462381981234	2	19060000	94
20220927 023008	binary	custom	TRUE	TRUE	FALSE	-100	31	209	TRUE	763381	0.0307117208629222	0.392352852014435	479	416	7213	0.722105895260244	196	1.51658009375899	50.2676221791898	3.41170625021278	2	25340000	95
20220927 023028	binary	custom	TRUE	TRUE	FALSE	-100	31	83	TRUE	763381	0.133549395305249	0.464033163502605	1800	504	9274	0.580187751626955	560	0.203053597440274	11.7942655361699	0.591473301336347	2	25460000	96
20220927 023055	binary	custom	TRUE	TRUE	FALSE	-100	31	127	TRUE	763381	0.0619111694887856	0.458318159368342	6703	309	8381	0.863460368348828	105	0.750472558451711	26.7082307877184	4.87242748690509	3	25160000	97
20220927 023123	binary	custom	TRUE	TRUE	FALSE	-100	31	106	TRUE	763381	0.0529603306447339	0.48112517605279	3422	581	9256	0.899122043295701	67	7.18804906337957	19.9628091625399	6.22233096782688	3	24690000	98
20220927 023147	binary	custom	TRUE	TRUE	FALSE	-100	31	118	TRUE	763381	0.141293846089571	0.731314072770623	2088	821	11584	0.593203843927792	2	0.846822615534223	44.6192909326113	0.905590524756493	1	25240000	99
20220927 023210	binary	custom	TRUE	TRUE	FALSE	-100	31	155	TRUE	763381	0.0324765817296451	0.408083133178364	6275	987	8950	0.314980564378521	785	2.20029947876107	54.4170720903522	7.66560477820624	11	22980000	100
20220927 023254	binary	custom	TRUE	TRUE	FALSE	-100	31	226	TRUE	763381	0.0521194982506686	0.993887631146405	6686	454	6621	0.749217241317459	138	0.16961229365808	27.1485941385986	0.911985550688117	9	25480000	101
20220927 023317	binary	custom	TRUE	TRUE	FALSE	-100	31	102	TRUE	763381	0.141872736753879	0.327966641296572	7617	336	6926	0.777800285882557	1	0.398821094567016	75.405122138029	0.156155248201681	3	25350000	102
20220927 023356	binary	custom	TRUE	TRUE	FALSE	-100	31	161	TRUE	763381	0.0544637403667629	0.377203758697922	6236	243	7861	0.765664612690872	2	0.159616718924457	5.94587570444236	0.129825118216138	13	25320000	103
20220927 023419	binary	custom	TRUE	TRUE	FALSE	-100	31	135	TRUE	763381	0.135208447490677	0.306354887764965	1546	733	7195	0.584821194326873	222	0.0403339194845101	75.1676595811556	0.0917100740378828	5	24970000	104
20220927 023657	binary	custom	TRUE	TRUE	FALSE	-100	31	1147	TRUE	763381	0.0122952524060553	0.592397202929472	7509	474	7891	0.722961446140574	65	0.454538674632923	24.8164066704915	0.224391205239068	2	25820000	105
20220927 023717	binary	custom	TRUE	TRUE	FALSE	-100	31	93	TRUE	763381	0.125669669555488	0.739810752710765	5909	830	5976	0.592534521814035	725	5.44391086128367	3.91596354170803	0.531605265450567	5	24450000	106
20220927 023726	binary	custom	TRUE	TRUE	FALSE	-100	31	29	TRUE	763381	0.17470263972315	0.636623450077834	3013	959	9316	0.356183665522145	642	11.3741148168976	66.4043693477978	2.9692867168773	4	22730000	107
20220927 023806	binary	custom	TRUE	TRUE	FALSE	-100	31	244	TRUE	763381	0.0389608691045699	0.734425075863754	6589	591	7789	0.804171293154595	409	1.30734348626679	13.1000692799128	0.275870142833736	1	25550000	108
20220927 023853	binary	custom	TRUE	TRUE	FALSE	-100	31	292	TRUE	763381	0.0646229648904597	0.213596513507796	2990	366	8858	0.812863360336302	3	0.027593969545188	28.1804388155295	1.06071077144809	1	26610000	109
20220927 024003	binary	custom	TRUE	TRUE	FALSE	-100	31	337	TRUE	763381	0.0184539449199584	0.371685404217339	7033	706	6775	0.810127861549129	12	4.79925186509816	44.645374198247	8.61342666944478	4	24130000	110
20220927 024011	binary	custom	TRUE	TRUE	FALSE	-100	31	25	TRUE	763381	0.167425900522869	0.702300908477731	5171	100	11178	0.25027830015241	480	2.31111131552291	20.2393561962524	14.2529942320416	5	22210000	111
20220927 024125	binary	custom	TRUE	TRUE	FALSE	-100	31	671	TRUE	763381	0.0237145671151569	0.945971953712345	3584	470	8832	0.864313529742567	460	0.199105222943371	55.6430845976085	1.33319575066223	3	26740000	112
20220927 024707	binary	custom	TRUE	TRUE	FALSE	-100	31	1679	TRUE	763381	0.00572393373290518	0.557898625356698	1861	772	8076	0.855471932697937	487	2.91796883180667	78.9966035423514	0.0753608331031286	1	26970000	113
20220927 024721	binary	custom	TRUE	TRUE	FALSE	-100	31	18	TRUE	763381	0.109839872148115	0.26006275078907	899	1008	10868	0.223380512272113	643	13.4649302386972	7.52714017714482	14.6330453065222	7	21150000	114
