Feature	Gain	Cover	Frequency
pesos_fe_suma_menos_tarjetas	0.53184297968658	0.0712942113237428	0.0456226880394575
ctrx_quarter	0.0874057179994807	0.034416088409659	0.0228113440197287
cpayroll_trx	0.0453837216168169	0.0522377866168046	0.0339087546239211
mpayroll	0.0364057092502091	0.0647385630492395	0.0283600493218249
mpasivos_margen	0.0228431160283296	0.00817818089341843	0.00863131935881628
mprestamos_personales	0.0216697600116514	0.0529953055615724	0.0456226880394575
mtarjeta_visa_consumo	0.0205913164317627	0.0102770151785104	0.0160295930949445
mrentabilidad_annual	0.0194175784708669	0.0474929611824425	0.0431565967940814
mcuentas_saldo	0.0186826527591529	0.0302255690163293	0.0351418002466091
mcaja_ahorro	0.0150321814995434	0.0101890827515507	0.0160295930949445
mcomisiones_mantenimiento	0.0149198096306583	0.0523174925936854	0.0437731196054254
Visa_status	0.0129597184501256	0.10504520593461	0.0437731196054254
Visa_mpagominimo	0.0111326168854873	0.0389991269924689	0.0332922318125771
mrentabilidad	0.0091119206845183	0.0122523670202302	0.031442663378545
cdescubierto_preacordado	0.00888351145775012	0.0566434423697876	0.032675709001233
mactivos_margen	0.00795070424484249	0.0288777288279515	0.0431565967940814
Visa_msaldototal	0.00718806713394415	0.00434301476331952	0.00986436498150432
ctarjeta_visa_transacciones	0.00705048620415718	0.00821506525962052	0.0135635018495684
ccajas_consultas	0.0069028236788315	0.039653680652097	0.0277435265104809
Visa_fechaalta	0.00672342614129971	0.00697364252739757	0.0252774352651048
cociente_fe_01	0.00629289217757823	0.0224157788405078	0.0258939580764488
Visa_msaldopesos	0.00539035231427098	0.0118158265294348	0.0234278668310728
cprestamos_personales	0.00525094742080856	0.00651822527168892	0.0141800246609125
Master_fechaalta	0.00416379797453199	0.00631386164428179	0.0258939580764488
ctarjeta_master	0.00378838224621497	0.00552386536013991	0.00801479654747226
mcuenta_corriente	0.0036474297276849	0.0104145388990263	0.0184956843403206
ccaja_seguridad	0.00356426957661034	0.00636779875595998	0.0104808877928483
ccomisiones_otras	0.00349742144167998	0.0127077842759388	0.0166461159062885
ctarjeta_visa	0.00333179524890224	0.00894410991438298	0.00801479654747226
Master_status	0.00331026637456486	0.0217689129943463	0.0123304562268804
ccomisiones_mantenimiento	0.00318257981037086	0.00682639886437774	0.00739827373612824
cproductos	0.0028431662366467	0.00771534514254932	0.0172626387176326
internet	0.00240016134260687	0.000930617165178524	0.00493218249075216
thomebanking	0.00239116173311516	0.0138790495894083	0.0092478421701603
mtarjeta_master_consumo	0.00211498123907378	0.000808885290796319	0.00431565967940814
Master_msaldototal	0.0020748943946433	0.00182758178382882	0.0104808877928483
cociente_fe_03	0.0020252298010815	0.00207793763288257	0.0117139334155364
mcomisiones_otras	0.00179987436796073	0.002504758181174	0.00739827373612824
master_fe_suma_all	0.00163524084434258	0.00953814040557329	0.00863131935881628
mcuenta_debitos_automaticos	0.00160613416246879	0.00883304059657628	0.0104808877928483
mcomisiones	0.00153275228153444	0.00162425870442274	0.0061652281134402
mtransferencias_recibidas	0.00149231084112481	0.0131726399141041	0.00863131935881628
cmobile_app_trx	0.00148166863223465	0.010154818117963	0.00863131935881628
ccuenta_debitos_automaticos	0.00145907241834258	0.0110544024692278	0.00801479654747226
Master_mpagominimo	0.00138653145350664	0.00379347075960959	0.0092478421701603
tcallcenter	0.00126589998836827	0.0139179538429066	0.00801479654747226
Visa_Fvencimiento	0.00120127753095257	0.00308791800618859	0.00739827373612824
Master_mlimitecompra	0.00113848740158521	0.00137665724713649	0.00554870530209618
Master_mfinanciacion_limite	0.00112434440208869	0.00223589281944267	0.0092478421701603
ccallcenter_transacciones	0.00102211836036864	0.0111132117938991	0.00739827373612824
Master_msaldopesos	0.000843511332686209	0.000855967027408744	0.00554870530209618
chomebanking_transacciones	0.000816114793798805	0.00112843146104961	0.00184956843403206
cliente_antiguedad	0.000742783837712468	0.000743257316282742	0.00431565967940814
cliente_edad	0.000725662107841642	0.0022594092042665	0.00554870530209618
Master_Fvencimiento	0.000703393868514582	0.000977858044426405	0.00493218249075216
Master_mconsumospesos	0.000626421958662067	0.000609908029512292	0.0030826140567201
cociente_fe_02	0.00057607655072083	0.00108896408745666	0.00431565967940814
Visa_mconsumosdolares	0.000548808090065569	0.00216593126854823	0.0030826140567201
visa_fe_suma_all	0.000543386876374071	0.00162889832433333	0.00369913686806412
ctarjeta_debito_transacciones	0.000514368576338015	0.00239797347278341	0.00431565967940814
tarjetas_fe_suma_all	0.000450179428011311	0.000383986695871544	0.00246609124537608
ccajas_transacciones	0.000417753571250085	0.000895263016625044	0.00184956843403206
Master_mpagospesos	0.000400303992535215	0.000575778055077699	0.0030826140567201
pesos_fe_suma_all	0.000334030213829188	0.00084051795002838	0.00246609124537608
Visa_mpagospesos	0.000288398438421004	0.000662412857471391	0.00184956843403206
Master_fultimo_cierre	0.000276692339445115	0.000188302462967325	0.00123304562268804
Master_mconsumototal	0.000244815537564206	0.000280886751578811	0.00123304562268804
mautoservicio	0.000237539153896707	0.00180593838540689	0.00184956843403206
Visa_mconsumospesos	0.000201824181344801	0.000430542037612848	0.00184956843403206
Visa_mconsumototal	0.000167405093345127	0.000847140732011563	0.00123304562268804
Visa_cadelantosefectivo	0.000157790810487413	0.00274304367341551	0.00184956843403206
Visa_msaldodolares	0.000113199305338835	0.000175179316412848	0.00061652281134402
mpagomiscuentas	9.94063562228505e-05	4.75101975540365e-05	0.00061652281134402
Master_mpagado	9.15321850863369e-05	0.000797684097608495	0.00061652281134402
catm_trx	8.71535124893579e-05	8.29745217782167e-05	0.00061652281134402
cseguro_vida	8.37002169059483e-05	0.000134610186112905	0.00061652281134402
Visa_mpagado	7.7999761238139e-05	0.000108927013098639	0.00061652281134402
Master_cconsumos	6.96676279173336e-05	0.000389091501947306	0.00061652281134402
Visa_cconsumos	4.68202706844237e-05	0.000124400573961381	0.00061652281134402
