fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220910 045716	-0.20537706	4994.567714	493.9309507	8	5	19106666.67	69
20220910 050029	-0.772952816	1517.401492	176.7796891	3	5	19106666.67	84
20220910 045859	-0.072058225	3116.962893	873.3270029	3	5	19080000	77
20220910 044539	-0.090209566	4447.881009	999.8280686	3	5	19066666.67	17
20220910 044458	-0.956258971	3831.108432	929.8149841	14	5	19040000	13
20220910 050311	-0.776926967	4998.280342	998.8001699	8	5	19040000	96
20220910 044822	-0.493343748	4982.080452	998.3362781	16	5	19026666.67	29
20220910 050706	-0.410052751	4968.375358	990.7929551	20	5	19013333.33	113
20220910 044340	-0.348821488	4470.156974	878.8406894	18	5	18973333.33	6
20220910 045402	-0.620510699	1405.715828	638.1032794	3	5	18946666.67	54
20220910 044927	-0.733625353	3672.700605	999.2243911	3	5	18906666.67	35
20220910 050609	-0.148503891	3996.937609	318.3251988	3	5	18866666.67	109
20220910 044718	-0.588820052	4845.621012	996.5625041	9	5	18853333.33	24
20220910 050135	-0.350548055	4505.223089	999.7089091	3	5	18853333.33	89
20220910 044751	-0.18034415	3133.007418	971.8711843	3	5	18813333.33	27
20220910 045851	-0.821655161	3581.682951	138.2192537	3	5	18813333.33	76
20220910 050038	-0.094842896	1570.302009	388.2022585	3	5	18773333.33	85
20220910 050347	-0.874762349	2502.94318	8.33872866	4	5	18773333.33	99
20220910 050621	-0.093212928	3946.262049	2.492023863	7	5	18760000	110
20220910 050417	-0.552671597	4987.571871	963.0367355	9	5	18706666.67	101
20220910 050439	-0.999978304	3831.667094	992.2605662	3	5	18706666.67	103
20220910 044919	-0.902089529	4994.375076	997.7622288	3	5	18680000	34
20220910 045227	-0.376378156	3088.901295	3.773627709	11	5	18613333.33	47
20220910 045023	-0.627909417	4861.349288	476.9773964	13	5	18573333.33	39
20220910 045912	-0.065481476	4799.081525	999.7142727	10	5	18546666.67	78
20220910 044911	-0.847367985	271.5397777	132.8741751	3	5	18520000	33
20220910 045924	-0.744975919	4159.343387	3.365785603	8	5	18480000	79
20220910 044743	-0.293493164	4932.890608	10.48799106	9	5	18173333.33	26
20220910 045314	-0.16791299	2998.051143	16.87712394	3	5	18160000	50
20220910 045425	-0.465559229	1616.775056	11.6298356	3	5	18133333.33	56
20220910 044706	-0.674989035	286.4456075	38.99563038	3	5	18106666.67	23
20220910 044809	-0.757482784	4976.217159	10.0571002	20	5	18026666.67	28
20220910 045757	-0.915825881	4998.606496	1.40968678	8	5	18026666.67	72
20220910 045652	-0.359489185	156.6768647	1.433133373	3	5	17986666.67	67
20220910 044355	-0.162979755	4857.67863	9.903859532	16	5	17973333.33	7
20220910 044627	-0.40368812	138.9839959	24.29356533	20	5	16573333.33	20
20220910 045843	-0.78990838	8.270681837	2.542895015	13	5	14520000	75
20220910 044949	-0.587036087	26.82212363	3.132435552	20	5	12026666.67	36
20220910 044657	-0.241283923	5.907950874	2.550032723	20	5	9053333.333	22
20220910 045118	-0.971449395	5.748696026	2.709122125	20	5	8920000	42
20220910 044404	0.014598639	3159.985655	216.1600511	6	5	-1260000	8
20220910 044432	0.0835477	1905.996956	629.1491142	20	5	-1300000	11
