fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220911 185934	-0.536812131226179	3983.657107741	65.0074086028471	11	5	22706666.6666667	1
20220911 185950	-0.640900966712798	2530.31312666876	772.04347859665	15	5	22600000	2
20220911 190001	-0.0226815264119067	1476.59325761978	719.518507615809	7	5	22520000	3
20220911 190019	-0.236173249394051	2825.87151067598	199.390130479398	20	5	22786666.6666667	4
20220911 190035	-0.415946787153371	1584.03652227069	643.775358156752	17	5	2.3e+07	5
20220911 190049	-0.2743713491378	4719.49192978747	500.23029883804	12	5	22626666.6666667	6
20220911 190100	-0.920794103654043	3619.7128325474	45.6074742393248	7	5	22680000	7
20220911 190108	-0.778650005199597	2187.4327948462	854.739275865519	5	5	22720000	8
20220911 190116	0.092132349201711	2266.93634103863	878.909345629247	14	5	-1220000	9
20220911 190123	-0.37156247421517	4362.26349087065	592.972363257126	3	5	22533333.3333333	10
20220911 190143	-0.104427337775996	1037.45780782672	157.414330363521	19	5	22173333.3333333	11
20220911 190155	-0.939195179491071	4563.08061541541	985.926407389605	10	5	22613333.3333333	12
20220911 190212	-0.657192053271865	3128.48833950999	268.833891823437	18	5	22426666.6666667	13
20220911 190230	-0.750175277368786	3376.6406205721	287.366253813496	17	5	22506666.6666667	14
20220911 190237	0.0887141714571045	1947.35942280393	738.00713588181	12	5	-1386666.66666667	15
20220911 190245	0.0697403490310535	3762.90146543738	486.164151988924	16	5	-1060000	16
20220911 190255	-0.0659144421170942	1544.88148412004	768.757014133788	3	5	22800000	17
20220911 190316	-0.327643396150579	1489.42836774158	184.571364302272	20	5	22400000	18
20220911 190332	-0.849547385287968	4199.56287214886	777.382785200124	15	5	22520000	19
20220911 190351	-0.450526432987145	4982.27048300258	218.770716740905	20	5	22373333.3333333	20
20220911 190400	-0.485472923395557	2171.99800815835	918.174814012456	3	5	22600000	21
20220911 190409	-0.585236863730886	177.345663770143	88.2992013156046	3	5	22293333.3333333	22
20220911 190433	-0.495368676884241	49.0116258971062	1.83731053474138	18	5	17893333.3333333	23
20220911 190441	-0.573437665899769	4990.41010028553	934.82600386153	3	5	22080000	24
20220911 190453	-0.42966562573159	4124.66020641543	999.866000179813	7	5	22466666.6666667	25
20220911 190506	-0.18517205307023	1380.25375409533	685.6544424663	7	5	22546666.6666667	26
20220911 190515	-0.697026017428397	814.707444467393	400.763209636448	3	5	22533333.3333333	27
20220911 190532	-0.37458608443808	3131.61182657993	982.350336874708	20	5	22706666.6666667	28
20220911 190541	-0.0411213716796103	356.03751897661	176.055619594499	3	5	22360000	29
20220911 190557	-0.822031963947541	33.3882047483535	1.30910249249958	10	5	20440000	30
20220911 190606	-0.620543826580791	3437.22676533459	2.11296168882678	3	5	21826666.6666667	31
20220911 190615	-0.266816196460678	1072.60227586251	533.879658577479	3	5	22533333.3333333	32
20220911 190629	-0.716627393285443	4977.20043765351	997.299990007798	9	5	2.2e+07	33
20220911 190646	-0.909360278994663	1900.58751490128	836.958976779797	20	5	22866666.6666667	34
20220911 190655	-0.892200514165345	2849.60677264088	951.770445313854	3	5	22893333.3333333	35
20220911 190711	-0.397925032300738	3154.99836836195	2.83473438551777	11	5	22386666.6666667	36
20220911 190721	-0.548196135645238	2332.22101866278	777.169122335727	4	5	22586666.6666667	37
20220911 190739	-0.2622085371661	1941.5062127261	958.547265969329	20	5	2.3e+07	38
20220911 190750	-0.983442781242342	1216.21159152227	600.915007017125	4	5	22466666.6666667	39
20220911 190807	-0.148457257690391	2980.36546992289	999.065820034142	20	5	22840000	40
20220911 190824	-0.72053961321617	1826.87383573194	911.792020183716	20	5	22946666.6666667	41
20220911 190833	-0.389680642085429	1553.10648731685	774.737531611895	3	5	22466666.6666667	42
20220911 190842	-0.508507259357393	4999.1454551035	463.922976570769	3	5	22106666.6666667	43
20220911 190859	-0.581278773555542	3911.75593763808	478.830369314009	20	5	22720000	44
20220911 190919	-0.999973916435441	3632.11245510653	175.455160496183	20	5	22493333.3333333	45
20220911 190941	-0.0535341417661232	1927.49428701999	962.79328840967	19	5	22813333.3333333	46
20220911 190957	-0.312108989183794	2643.95791954329	753.796813013348	11	5	22613333.3333333	47
20220911 191015	-0.953038224942652	2561.65351810587	457.803813345296	16	5	22506666.6666667	48
20220911 191035	-0.207698724040794	1409.56708559649	701.314699884263	20	5	22733333.3333333	49
20220911 191046	-0.229029325730671	3762.48821007175	999.347879328007	6	5	22693333.3333333	50
20220911 191100	-0.04568002815986	1875.44600750845	932.163341147353	8	5	22813333.3333333	51
20220911 191109	-0.999908962279166	4992.08186214952	275.484266215681	3	5	22333333.3333333	52
20220911 191127	-0.899282009348566	4997.71284534295	474.93474046119	20	5	22280000	53
20220911 191145	-0.401572301702447	4990.83155695981	546.390956654523	20	5	21973333.3333333	54
20220911 191201	-0.449602932705847	2999.37441006442	672.627163126203	12	5	22426666.6666667	55
